"Airline","Source","Destination","Flight_Duration","Total_Stops","Additional_Info","Day_of_Journey","Month_of_Journey","Year_of_Journey","Price"
"Air India","Kolkata","Banglore","150.0","0.0","No info","6245","18","5","2019"
"Jet Airways","Banglore","New Delhi","375.0","1.0","No info","19225","3","6","2019"
"Jet Airways","Delhi","Cochin","715.0","1.0","No info","14924","6","3","2019"
"Multiple carriers","Delhi","Cochin","665.0","1.0","No info","9646","21","5","2019"
"Air India","Banglore","New Delhi","510.0","1.0","No info","8714","15","3","2019"
"Jet Airways","Delhi","Cochin","1325.0","1.0","In-flight meal not included","12373","18","5","2019"
"Air Asia","Banglore","Delhi","165.0","0.0","No info","3383","5","6","2019"
"Multiple carriers","Delhi","Cochin","720.0","1.0","No info","13062","21","3","2019"
"SpiceJet","Banglore","New Delhi","170.0","0.0","No check-in baggage included","3527","24","3","2019"
"IndiGo","Banglore","Delhi","170.0","0.0","No info","3943","27","5","2019"
"Air India","Chennai","Kolkata","135.0","0.0","No info","4667","5","3","2019"
"Air India","Kolkata","Banglore","965.0","1.0","No info","6117","15","5","2019"
"Jet Airways","Delhi","Cochin","1195.0","2.0","In-flight meal not included","11150","27","6","2019"
"Jet Airways","Delhi","Cochin","195.0","0.0","In-flight meal not included","7202","3","9","2019"
"Jet Airways","Kolkata","Banglore","1520.0","1.0","No info","12121","5","1","2019"
"IndiGo","Banglore","New Delhi","170.0","0.0","No info","4377","24","3","2019"
"IndiGo","Banglore","Delhi","180.0","0.0","No info","3943","18","6","2019"
"Air Asia","Banglore","Delhi","170.0","0.0","No info","4483","4","3","2019"
"Jet Airways","Kolkata","Banglore","975.0","1.0","No info","14231","24","3","2019"
"Air India","Banglore","New Delhi","905.0","2.0","No info","17345","3","1","2019"
"Vistara","Chennai","Kolkata","135.0","0.0","No info","7414","3","6","2019"
"Multiple carriers","Delhi","Cochin","390.0","1.0","No info","8073","5","6","2019"
"Vistara","Mumbai","Hyderabad","1505.0","1.0","No info","12395","3","6","2019"
"Air India","Kolkata","Banglore","745.0","1.0","No info","8366","6","6","2019"
"Air India","Delhi","Cochin","1640.0","1.0","No info","5117","4","3","2019"
"Multiple carriers","Delhi","Cochin","615.0","1.0","No info","12524","6","3","2019"
"IndiGo","Delhi","Cochin","630.0","1.0","No info","7191","15","5","2019"
"Vistara","Chennai","Kolkata","135.0","0.0","No info","3687","24","5","2019"
"IndiGo","Delhi","Cochin","625.0","1.0","No info","5894","24","6","2019"
"Vistara","Banglore","Delhi","170.0","0.0","No info","5403","24","4","2019"
"Air India","Mumbai","Hyderabad","90.0","0.0","No info","3625","5","6","2019"
"Air India","Delhi","Cochin","800.0","2.0","No info","10861","21","5","2019"
"IndiGo","Chennai","Kolkata","135.0","0.0","No info","6297","3","12","2019"
"Jet Airways","Mumbai","Hyderabad","85.0","0.0","No info","5678","6","1","2019"
"Jet Airways","Banglore","New Delhi","1590.0","1.0","In-flight meal not included","9134","3","9","2019"
"Multiple carriers","Delhi","Cochin","440.0","1.0","In-flight meal not included","10791","24","6","2019"
"Jet Airways","Delhi","Cochin","810.0","2.0","No info","12819","24","6","2019"
"IndiGo","Delhi","Cochin","300.0","1.0","No info","6893","21","3","2019"
"Vistara","Banglore","New Delhi","165.0","0.0","No info","7240","3","9","2019"
"GoAir","Banglore","Delhi","170.0","0.0","No info","3898","4","3","2019"
"IndiGo","Mumbai","Hyderabad","90.0","0.0","No info","4049","4","3","2019"
"Jet Airways","Delhi","Cochin","1145.0","1.0","In-flight meal not included","10262","15","6","2019"
"SpiceJet","Chennai","Kolkata","135.0","0.0","No check-in baggage included","3332","21","3","2019"
"Jet Airways","Kolkata","Banglore","890.0","1.0","In-flight meal not included","10844","6","9","2019"
"Jet Airways","Banglore","New Delhi","160.0","0.0","No info","7229","24","3","2019"
"Jet Airways","Kolkata","Banglore","1330.0","1.0","No info","13941","5","6","2019"
"IndiGo","Delhi","Cochin","575.0","1.0","No info","5894","27","6","2019"
"Multiple carriers","Delhi","Cochin","600.0","1.0","No info","10197","18","5","2019"
"Jet Airways","Banglore","New Delhi","1280.0","1.0","In-flight meal not included","13712","3","6","2019"
"IndiGo","Delhi","Cochin","325.0","1.0","No info","5636","24","6","2019"
"Jet Airways","Delhi","Cochin","1125.0","2.0","No info","13014","6","6","2019"
"Jet Airways","Kolkata","Banglore","740.0","1.0","In-flight meal not included","7064","4","1","2019"
"Jet Airways","Kolkata","Banglore","1080.0","1.0","In-flight meal not included","10703","24","5","2019"
"Multiple carriers","Delhi","Cochin","555.0","1.0","No info","9646","27","5","2019"
"Multiple carriers","Delhi","Cochin","665.0","1.0","No info","17057","3","6","2019"
"Jet Airways","Banglore","New Delhi","1050.0","1.0","No info","13817","3","12","2019"
"Air India","Delhi","Cochin","800.0","2.0","No info","13748","3","6","2019"
"Air India","Kolkata","Banglore","155.0","0.0","No info","4880","21","4","2019"
"IndiGo","Chennai","Kolkata","145.0","0.0","No info","3540","21","6","2019"
"SpiceJet","Banglore","Delhi","160.0","0.0","No check-in baggage included","3257","15","5","2019"
"Jet Airways","Banglore","Delhi","180.0","0.0","In-flight meal not included","6478","6","3","2019"
"Jet Airways","Mumbai","Hyderabad","85.0","0.0","No info","8040","18","6","2019"
"Jet Airways","Delhi","Cochin","995.0","2.0","No info","14300","6","12","2019"
"Jet Airways","Kolkata","Banglore","740.0","1.0","No info","14781","15","5","2019"
"Jet Airways","Kolkata","Banglore","735.0","1.0","No info","14939","6","9","2019"
"Jet Airways","Delhi","Cochin","450.0","1.0","In-flight meal not included","10262","24","6","2019"
"Air India","Kolkata","Banglore","1440.0","1.0","No info","6528","5","12","2019"
"Air India","Banglore","Delhi","165.0","0.0","No info","6121","5","1","2019"
"Jet Airways","Delhi","Cochin","535.0","2.0","In-flight meal not included","13029","18","5","2019"
"Multiple carriers","Delhi","Cochin","430.0","1.0","No info","11421","27","3","2019"
"Multiple carriers","Delhi","Cochin","870.0","1.0","No info","7574","27","3","2019"
"Air India","Delhi","Cochin","1820.0","2.0","No info","11596","5","9","2019"
"Jet Airways","Delhi","Cochin","1195.0","2.0","No info","15129","24","5","2019"
"Jet Airways","Banglore","New Delhi","900.0","1.0","No info","13555","18","3","2019"
"IndiGo","Banglore","Delhi","175.0","0.0","No info","5780","4","12","2019"
"Vistara","Kolkata","Banglore","765.0","1.0","No info","9397","5","12","2019"
"Jet Airways","Delhi","Cochin","610.0","1.0","No info","17024","3","6","2019"
"GoAir","Delhi","Cochin","355.0","1.0","No info","5281","27","6","2019"
"Multiple carriers","Delhi","Cochin","925.0","1.0","No info","10348","18","5","2019"
"Air India","Delhi","Cochin","965.0","1.0","No info","12677","3","6","2019"
"Multiple carriers","Delhi","Cochin","610.0","1.0","No info","15147","3","3","2019"
"Vistara","Banglore","Delhi","160.0","0.0","No info","4668","6","12","2019"
"Jet Airways","Delhi","Cochin","715.0","1.0","No info","15554","5","9","2019"
"SpiceJet","Banglore","Delhi","160.0","0.0","No info","3971","4","9","2019"
"Air India","Mumbai","Hyderabad","85.0","0.0","No info","3100","5","3","2019"
"Jet Airways","Kolkata","Banglore","845.0","1.0","In-flight meal not included","9663","5","6","2019"
"Air India","Delhi","Cochin","1215.0","1.0","No info","27430","3","1","2019"
"IndiGo","Chennai","Kolkata","145.0","0.0","No info","3540","5","12","2019"
"Air India","Kolkata","Banglore","1390.0","2.0","No info","10676","21","5","2019"
"Jet Airways","Kolkata","Banglore","1090.0","1.0","No info","13044","6","12","2019"
"Jet Airways","Kolkata","Banglore","960.0","1.0","No info","14388","5","6","2019"
"IndiGo","Banglore","Delhi","170.0","0.0","No info","3943","24","6","2019"
"IndiGo","Chennai","Kolkata","140.0","0.0","No info","3597","6","3","2019"
"Air India","Banglore","New Delhi","480.0","1.0","No info","5932","21","3","2019"
"Jet Airways","Delhi","Cochin","1015.0","1.0","In-flight meal not included","10262","15","6","2019"
"Vistara","Delhi","Cochin","190.0","0.0","No info","6216","5","12","2019"
"IndiGo","Kolkata","Banglore","165.0","0.0","No info","4804","15","6","2019"
"Multiple carriers","Delhi","Cochin","840.0","1.0","No info","14067","21","5","2019"
"Jet Airways","Delhi","Cochin","1430.0","2.0","No info","15129","18","5","2019"
"Jet Airways","Delhi","Cochin","1300.0","2.0","No info","13376","6","6","2019"
"Air India","Delhi","Cochin","1275.0","2.0","No info","10441","27","6","2019"
"Jet Airways","Banglore","Delhi","165.0","0.0","In-flight meal not included","4030","24","5","2019"
"Jet Airways","Delhi","Cochin","650.0","1.0","No info","17024","3","3","2019"
"Multiple carriers","Delhi","Cochin","480.0","1.0","No info","13017","4","9","2019"
"GoAir","Kolkata","Banglore","495.0","1.0","No info","6686","6","6","2019"
"IndiGo","Delhi","Cochin","325.0","1.0","No info","5636","15","6","2019"
"IndiGo","Delhi","Cochin","515.0","1.0","No info","6442","6","9","2019"
"Multiple carriers","Delhi","Cochin","710.0","1.0","No info","9486","21","5","2019"
"Jet Airways","Kolkata","Banglore","1655.0","1.0","In-flight meal not included","10844","21","5","2019"
"Jet Airways","Delhi","Cochin","505.0","2.0","In-flight meal not included","15318","6","3","2019"
"Air India","Delhi","Cochin","1255.0","1.0","No info","5117","4","3","2019"
"IndiGo","Delhi","Cochin","290.0","1.0","No info","6147","24","6","2019"
"Multiple carriers","Delhi","Cochin","490.0","1.0","No info","7005","6","9","2019"
"SpiceJet","Kolkata","Banglore","140.0","0.0","No info","3873","4","3","2019"
"Jet Airways","Delhi","Cochin","1465.0","2.0","In-flight meal not included","9270","21","3","2019"
"GoAir","Banglore","Delhi","170.0","0.0","No info","3898","27","6","2019"
"Jet Airways","Kolkata","Banglore","740.0","1.0","No info","14781","5","12","2019"
"Jet Airways","Kolkata","Banglore","735.0","1.0","In-flight meal not included","8586","24","5","2019"
"Air India","Kolkata","Banglore","1415.0","2.0","No info","10697","5","9","2019"
"Jet Airways","Delhi","Cochin","995.0","2.0","No info","14300","27","6","2019"
"IndiGo","Banglore","New Delhi","170.0","0.0","No info","8855","3","3","2019"
"Jet Airways","Kolkata","Banglore","1545.0","1.0","In-flight meal not included","10844","5","12","2019"
"Jet Airways","Delhi","Cochin","1570.0","1.0","No info","17024","3","6","2019"
"Jet Airways","Kolkata","Banglore","1730.0","1.0","In-flight meal not included","9314","5","1","2019"
"IndiGo","Banglore","New Delhi","165.0","0.0","No info","4777","24","3","2019"
"Air India","Kolkata","Banglore","1515.0","1.0","No info","7662","6","9","2019"
"IndiGo","Delhi","Cochin","560.0","1.0","No info","6442","5","9","2019"
"SpiceJet","Delhi","Cochin","270.0","1.0","No info","5264","6","12","2019"
"Jet Airways","Delhi","Cochin","925.0","1.0","In-flight meal not included","12898","27","5","2019"
"Air India","Mumbai","Hyderabad","90.0","0.0","No info","6092","3","3","2019"
"SpiceJet","Banglore","Delhi","160.0","0.0","No info","3311","21","5","2019"
"Jet Airways","Delhi","Cochin","550.0","1.0","In-flight meal not included","6540","27","3","2019"
"IndiGo","Banglore","Delhi","165.0","0.0","No info","3419","27","5","2019"
"Jet Airways","Delhi","Cochin","1355.0","1.0","In-flight meal not included","5177","4","3","2019"
"Air India","Delhi","Cochin","185.0","0.0","No info","8246","18","4","2019"
"Jet Airways","Kolkata","Banglore","690.0","1.0","No info","14676","6","9","2019"
"Multiple carriers","Delhi","Cochin","570.0","1.0","No info","13587","27","6","2019"
"Jet Airways","Kolkata","Banglore","730.0","1.0","In-flight meal not included","9663","5","6","2019"
"Jet Airways","Kolkata","Banglore","1055.0","1.0","No info","13044","6","12","2019"
"IndiGo","Delhi","Cochin","305.0","1.0","No info","5073","4","3","2019"
"Vistara","Kolkata","Banglore","1550.0","1.0","No info","9345","21","5","2019"
"Jet Airways","Kolkata","Banglore","1200.0","1.0","In-flight meal not included","9663","5","6","2019"
"Multiple carriers","Delhi","Cochin","780.0","1.0","No info","14277","21","5","2019"
"Jet Airways","Delhi","Cochin","1105.0","1.0","In-flight meal not included","10262","6","1","2019"
"Jet Airways","Mumbai","Hyderabad","90.0","0.0","No info","5678","27","3","2019"
"Multiple carriers","Delhi","Cochin","570.0","1.0","No info","13727","15","5","2019"
"Jet Airways","Kolkata","Banglore","960.0","1.0","In-flight meal not included","9663","5","6","2019"
"IndiGo","Chennai","Kolkata","140.0","0.0","No info","3858","5","12","2019"
"SpiceJet","Delhi","Cochin","270.0","1.0","No info","4812","24","6","2019"
"IndiGo","Delhi","Cochin","345.0","1.0","No info","5775","27","6","2019"
"Jet Airways","Kolkata","Banglore","1450.0","1.0","In-flight meal not included","10539","6","6","2019"
"IndiGo","Kolkata","Banglore","155.0","0.0","No info","4804","6","3","2019"
"Air Asia","Banglore","Delhi","165.0","0.0","No info","3383","6","12","2019"
"IndiGo","Banglore","New Delhi","295.0","1.0","No info","8738","3","3","2019"
"Air India","Delhi","Cochin","1535.0","1.0","No info","7165","27","3","2019"
"IndiGo","Delhi","Cochin","380.0","1.0","No info","6412","24","6","2019"
"Jet Airways","Banglore","Delhi","185.0","0.0","No info","8016","27","6","2019"
"Jet Airways","Banglore","New Delhi","1120.0","1.0","In-flight meal not included","11087","3","12","2019"
"SpiceJet","Chennai","Kolkata","135.0","0.0","No check-in baggage included","3543","27","6","2019"
"Jet Airways","Kolkata","Banglore","730.0","1.0","No info","12471","6","12","2019"
"Jet Airways","Delhi","Cochin","1165.0","1.0","In-flight meal not included","10262","24","6","2019"
"Air India","Banglore","New Delhi","170.0","0.0","No info","4441","18","3","2019"
"Multiple carriers","Delhi","Cochin","505.0","1.0","No info","12537","27","3","2019"
"GoAir","Kolkata","Banglore","555.0","1.0","No info","10091","24","3","2019"
"Air India","Banglore","Delhi","170.0","0.0","No info","6961","6","3","2019"
"IndiGo","Delhi","Cochin","195.0","0.0","No info","5013","24","4","2019"
"Air India","Delhi","Cochin","170.0","0.0","No info","6934","18","5","2019"
"Multiple carriers","Delhi","Cochin","740.0","1.0","No info","10877","6","3","2019"
"Jet Airways","Banglore","Delhi","175.0","0.0","No info","7229","18","4","2019"
"IndiGo","Delhi","Cochin","575.0","1.0","No info","7048","27","3","2019"
"Vistara","Banglore","Delhi","155.0","0.0","No info","4878","27","6","2019"
"Jet Airways","Kolkata","Banglore","570.0","1.0","In-flight meal not included","10844","21","5","2019"
"Jet Airways","Delhi","Cochin","1760.0","2.0","No info","15129","18","5","2019"
"IndiGo","Banglore","Delhi","175.0","0.0","No info","3943","5","12","2019"
"SpiceJet","Delhi","Cochin","315.0","1.0","No info","5583","6","6","2019"
"Multiple carriers","Delhi","Cochin","545.0","1.0","No info","9646","6","6","2019"
"Multiple carriers","Delhi","Cochin","645.0","1.0","No info","7677","6","3","2019"
"IndiGo","Delhi","Cochin","295.0","1.0","No info","6842","6","1","2019"
"Jet Airways","Mumbai","Hyderabad","90.0","0.0","In-flight meal not included","4995","24","6","2019"
"Vistara","Kolkata","Banglore","700.0","1.0","No info","9555","6","9","2019"
"IndiGo","Banglore","Delhi","165.0","0.0","No info","4077","6","1","2019"
"Jet Airways","Banglore","Delhi","175.0","0.0","No info","7229","5","12","2019"
"Multiple carriers","Delhi","Cochin","600.0","1.0","No info","12192","6","9","2019"
"Air India","Banglore","Delhi","165.0","0.0","No info","5911","4","12","2019"
"Air India","Delhi","Cochin","615.0","1.0","No info","8372","6","12","2019"
"Jet Airways","Mumbai","Hyderabad","85.0","0.0","In-flight meal not included","4995","18","3","2019"
"Multiple carriers","Delhi","Cochin","555.0","1.0","No info","14323","5","9","2019"
"Jet Airways","Delhi","Cochin","1375.0","2.0","No info","13014","6","9","2019"
"Air India","Delhi","Cochin","1730.0","2.0","No info","13591","6","6","2019"
"Jet Airways","Delhi","Cochin","2245.0","2.0","No info","18799","3","3","2019"
"IndiGo","Banglore","Delhi","170.0","0.0","No info","3943","27","4","2019"
"SpiceJet","Mumbai","Hyderabad","90.0","0.0","No check-in baggage included","1965","21","5","2019"
"Jet Airways","Mumbai","Hyderabad","90.0","0.0","In-flight meal not included","4995","27","5","2019"
"Air India","Kolkata","Banglore","1540.0","1.0","No info","14641","24","3","2019"
"Air India","Kolkata","Banglore","155.0","0.0","No info","4460","4","12","2019"
"Air India","Delhi","Cochin","375.0","1.0","No info","10191","18","5","2019"
"Jet Airways","Delhi","Cochin","1050.0","1.0","In-flight meal not included","13843","3","9","2019"
"IndiGo","Delhi","Cochin","345.0","1.0","No info","6349","5","1","2019"
"Air Asia","Kolkata","Banglore","155.0","0.0","No info","4409","5","1","2019"
"Jet Airways","Delhi","Cochin","1530.0","1.0","No info","17024","3","6","2019"
"Multiple carriers","Delhi","Cochin","835.0","1.0","No info","13727","18","5","2019"
"IndiGo","Banglore","New Delhi","175.0","0.0","No info","8855","15","3","2019"
"Multiple carriers","Delhi","Cochin","615.0","1.0","No info","12524","24","6","2019"
"Jet Airways","Banglore","New Delhi","520.0","1.0","No info","13555","18","3","2019"
"Jet Airways","Kolkata","Banglore","330.0","1.0","In-flight meal not included","10844","6","6","2019"
"Multiple carriers","Delhi","Cochin","720.0","1.0","No info","13587","6","9","2019"
"SpiceJet","Chennai","Kolkata","135.0","0.0","No check-in baggage included","3543","6","12","2019"
"Vistara","Chennai","Kolkata","135.0","0.0","No info","4842","18","3","2019"
"IndiGo","Banglore","Delhi","170.0","0.0","No info","3943","24","4","2019"
"Jet Airways","Delhi","Cochin","550.0","1.0","In-flight meal not included","10577","6","9","2019"
"IndiGo","Delhi","Cochin","625.0","1.0","No info","6979","15","5","2019"
"Vistara","Chennai","Kolkata","140.0","0.0","No info","11982","27","6","2019"
"SpiceJet","Delhi","Cochin","270.0","1.0","No info","5264","6","6","2019"
"Vistara","Delhi","Cochin","190.0","0.0","No info","8001","3","3","2019"
"Air India","Delhi","Cochin","1410.0","2.0","No info","10651","6","1","2019"
"Jet Airways","Kolkata","Banglore","1640.0","1.0","In-flight meal not included","10844","24","5","2019"
"Multiple carriers","Delhi","Cochin","755.0","1.0","No info","6601","27","3","2019"
"Air India","Delhi","Cochin","1455.0","1.0","No info","6587","21","3","2019"
"SpiceJet","Mumbai","Hyderabad","80.0","0.0","No info","3173","21","3","2019"
"Air India","Banglore","Delhi","165.0","0.0","No info","5228","5","9","2019"
"Jet Airways","Banglore","Delhi","180.0","0.0","In-flight meal not included","5769","21","6","2019"
"Jet Airways","Delhi","Cochin","660.0","1.0","No info","14714","6","6","2019"
"Jet Airways","Delhi","Cochin","810.0","2.0","No info","13014","6","3","2019"
"IndiGo","Banglore","Delhi","170.0","0.0","No info","3359","6","3","2019"
"GoAir","Banglore","New Delhi","175.0","0.0","No info","6722","3","3","2019"
"IndiGo","Kolkata","Banglore","165.0","0.0","No info","4462","18","3","2019"
"IndiGo","Delhi","Cochin","675.0","1.0","No info","6171","3","9","2019"
"Air India","Kolkata","Banglore","875.0","2.0","No info","12303","21","5","2019"
"Multiple carriers","Delhi","Cochin","835.0","1.0","No info","7695","21","3","2019"
"IndiGo","Delhi","Cochin","845.0","1.0","No info","5684","24","6","2019"
"Air India","Kolkata","Banglore","905.0","1.0","No info","8366","6","12","2019"
"Air India","Chennai","Kolkata","135.0","0.0","No info","19630","3","1","2019"
"Jet Airways","Banglore","New Delhi","900.0","1.0","In-flight meal not included","13502","3","6","2019"
"Jet Airways","Kolkata","Banglore","775.0","1.0","No info","14781","5","1","2019"
"Multiple carriers","Delhi","Cochin","540.0","1.0","No info","6513","6","12","2019"
"Air India","Delhi","Cochin","735.0","1.0","No info","9929","6","1","2019"
"Multiple carriers","Delhi","Cochin","460.0","2.0","No info","18275","6","6","2019"
"Air India","Delhi","Cochin","1640.0","1.0","No info","4487","4","9","2019"
"IndiGo","Mumbai","Hyderabad","85.0","0.0","No info","2754","15","3","2019"
"Air India","Mumbai","Hyderabad","80.0","0.0","No info","2575","27","3","2019"
"SpiceJet","Kolkata","Banglore","330.0","1.0","No info","8224","6","12","2019"
"Air India","Delhi","Cochin","705.0","1.0","No info","8991","3","9","2019"
"IndiGo","Delhi","Cochin","195.0","0.0","No info","5000","24","6","2019"
"Jet Airways","Kolkata","Banglore","1495.0","1.0","In-flight meal not included","8529","6","12","2019"
"Air India","Delhi","Cochin","1640.0","1.0","No info","14042","3","3","2019"
"Jet Airways","Banglore","Delhi","175.0","0.0","In-flight meal not included","4030","24","5","2019"
"Jet Airways","Kolkata","Banglore","1025.0","1.0","In-flight meal not included","10844","6","6","2019"
"IndiGo","Kolkata","Banglore","160.0","0.0","No info","4804","5","6","2019"
"Multiple carriers","Delhi","Cochin","480.0","1.0","In-flight meal not included","7308","27","5","2019"
"IndiGo","Banglore","Delhi","180.0","0.0","No info","4823","5","12","2019"
"Jet Airways","Delhi","Cochin","1655.0","1.0","In-flight meal not included","10262","24","6","2019"
"Jet Airways","Delhi","Cochin","450.0","1.0","In-flight meal not included","12898","27","5","2019"
"Air India","Banglore","New Delhi","1375.0","2.0","No info","12778","3","12","2019"
"IndiGo","Delhi","Cochin","515.0","1.0","No info","14871","3","3","2019"
"Air India","Delhi","Cochin","1795.0","2.0","No info","8708","21","3","2019"
"Jet Airways","Kolkata","Banglore","1335.0","1.0","In-flight meal not included","10844","6","6","2019"
"SpiceJet","Mumbai","Hyderabad","80.0","0.0","No info","4129","3","6","2019"
"IndiGo","Kolkata","Banglore","160.0","0.0","No info","4804","18","5","2019"
"Jet Airways","Banglore","Delhi","180.0","0.0","No info","7229","5","6","2019"
"Jet Airways","Banglore","New Delhi","730.0","1.0","In-flight meal not included","7832","21","3","2019"
"SpiceJet","Chennai","Kolkata","155.0","0.0","No info","3859","18","3","2019"
"Multiple carriers","Delhi","Cochin","705.0","1.0","No info","9001","6","6","2019"
"Vistara","Banglore","Delhi","155.0","0.0","No info","4878","5","9","2019"
"IndiGo","Mumbai","Hyderabad","90.0","0.0","No info","2754","5","3","2019"
"Vistara","Banglore","Delhi","160.0","0.0","No info","4668","27","6","2019"
"Air Asia","Kolkata","Banglore","155.0","0.0","No info","5216","5","12","2019"
"Jet Airways","Delhi","Cochin","1375.0","2.0","In-flight meal not included","10368","6","6","2019"
"IndiGo","Delhi","Cochin","880.0","2.0","No info","8146","3","9","2019"
"Jet Airways","Delhi","Cochin","925.0","1.0","No info","12242","27","3","2019"
"Jet Airways","Banglore","New Delhi","435.0","1.0","In-flight meal not included","9134","15","3","2019"
"Air India","Delhi","Cochin","1210.0","2.0","No info","10939","6","6","2019"
"Air India","Delhi","Cochin","1245.0","2.0","No info","11753","6","6","2019"
"SpiceJet","Kolkata","Banglore","150.0","0.0","No info","4174","24","4","2019"
"Jet Airways","Kolkata","Banglore","1430.0","1.0","In-flight meal not included","10844","21","5","2019"
"Jet Airways","Delhi","Cochin","1620.0","1.0","No info","14714","6","3","2019"
"Jet Airways","Kolkata","Banglore","330.0","1.0","In-flight meal not included","9899","6","12","2019"
"IndiGo","Delhi","Cochin","710.0","1.0","No info","14871","3","3","2019"
"IndiGo","Chennai","Kolkata","135.0","0.0","No info","7295","3","6","2019"
"Air India","Delhi","Cochin","1470.0","2.0","No info","13465","6","6","2019"
"SpiceJet","Chennai","Kolkata","140.0","0.0","No check-in baggage included","3543","21","5","2019"
"Multiple carriers","Delhi","Cochin","390.0","1.0","No info","7198","27","6","2019"
"Jet Airways","Delhi","Cochin","1225.0","1.0","In-flight meal not included","10262","6","1","2019"
"IndiGo","Kolkata","Banglore","155.0","0.0","No info","4148","15","3","2019"
"Jet Airways","Banglore","Delhi","175.0","0.0","No info","8016","27","6","2019"
"Jet Airways","Delhi","Cochin","335.0","1.0","In-flight meal not included","10262","6","9","2019"
"SpiceJet","Kolkata","Banglore","150.0","0.0","No check-in baggage included","3841","15","6","2019"
"Jet Airways","Banglore","New Delhi","885.0","1.0","No info","11507","3","12","2019"
"Jet Airways","Kolkata","Banglore","740.0","1.0","No info","14781","5","1","2019"
"Jet Airways","Delhi","Cochin","1530.0","1.0","No info","16079","27","5","2019"
"Jet Airways","Delhi","Cochin","335.0","1.0","In-flight meal not included","12898","27","5","2019"
"Multiple carriers","Delhi","Cochin","705.0","1.0","No info","15353","3","6","2019"
"IndiGo","Banglore","New Delhi","175.0","0.0","No info","7303","24","3","2019"
"SpiceJet","Kolkata","Banglore","340.0","1.0","No info","6197","24","3","2019"
"Air India","Kolkata","Banglore","245.0","1.0","No info","8996","6","9","2019"
"IndiGo","Delhi","Cochin","480.0","1.0","No info","6528","21","3","2019"
"GoAir","Banglore","Delhi","165.0","0.0","No info","4239","4","9","2019"
"IndiGo","Kolkata","Banglore","160.0","0.0","No info","4148","3","12","2019"
"SpiceJet","Banglore","Delhi","175.0","0.0","No info","3971","24","5","2019"
"Air Asia","Kolkata","Banglore","955.0","1.0","No info","5192","5","6","2019"
