Airline,Source,Destination,Total_Stops,Additional_Info,Price,Day_of_Journey,Flight_Duration,Month_of_Journey
7,4,4,0.0,1,3687,18.0,-1.0708933607606426,6.0
2,2,2,2.0,1,13227,1.0,0.314310273948334,5.0
1,1,5,0.0,1,4423,6.0,-0.9985319768579347,4.0
3,3,3,2.0,2,10919,15.0,1.3790563513738905,6.0
3,3,3,1.0,2,12373,18.0,-0.6677370790169851,5.0
1,3,3,1.0,1,5894,27.0,-0.057833986122734306,6.0
4,2,2,1.0,1,4649,21.0,-0.6987491006895742,5.0
2,2,2,0.0,1,6245,18.0,-1.0398813390880535,5.0
3,1,1,1.0,1,19225,6.0,-0.574701013999218,3.0
3,3,3,1.0,1,14924,3.0,0.12823814391279983,6.0
5,3,3,1.0,1,9646,21.0,0.024864738337503092,5.0
2,1,1,1.0,1,8714,15.0,-0.2955928189459168,3.0
3,3,3,1.0,2,12373,18.0,1.3893936919314203,5.0
8,1,5,0.0,1,3383,6.0,-1.0088693174154644,5.0
5,3,3,1.0,1,13062,21.0,0.13857548447032952,3.0
4,1,1,0.0,3,3527,24.0,-0.9985319768579347,3.0
1,1,5,0.0,1,3943,27.0,-0.9985319768579347,5.0
2,4,4,0.0,1,4667,3.0,-1.0708933607606426,5.0
2,2,2,1.0,1,6117,15.0,0.6451051717892836,5.0
3,3,3,2.0,2,11150,27.0,1.1206228374356486,6.0
3,3,3,0.0,2,7202,9.0,-0.9468452740702864,3.0
3,2,2,1.0,1,12121,1.0,1.7925499736750776,5.0
1,1,1,0.0,1,4377,24.0,-0.9985319768579347,3.0
1,1,5,0.0,1,3943,18.0,-0.9778572957428754,6.0
8,1,5,0.0,1,4483,3.0,-0.9985319768579347,4.0
3,2,2,1.0,1,14231,24.0,0.6657798529043429,3.0
2,1,1,2.0,1,17345,1.0,0.5210570850989275,3.0
7,4,4,0.0,1,7414,6.0,-1.0708933607606426,3.0
5,3,3,1.0,1,8073,6.0,-0.543688992326629,5.0
7,5,6,1.0,1,12395,6.0,1.7615379520024885,3.0
2,2,2,1.0,1,8366,6.0,0.1902621872579779,6.0
2,3,3,1.0,1,5117,3.0,2.04064614705579,4.0
5,3,3,1.0,1,12524,3.0,-0.07850866723779366,6.0
1,3,3,1.0,1,7191,15.0,-0.04749664556520463,5.0
7,4,4,0.0,1,3687,24.0,-1.0708933607606426,5.0
1,3,3,1.0,1,5894,24.0,-0.057833986122734306,6.0
7,1,5,0.0,1,5403,24.0,-0.9985319768579347,4.0
2,5,6,0.0,1,3625,6.0,-1.1639294257784096,5.0
2,3,3,2.0,1,10861,21.0,0.30397293339080433,5.0
1,4,4,0.0,1,6297,12.0,-1.0708933607606426,3.0
3,5,6,0.0,1,5678,1.0,-1.1742667663359392,6.0
3,1,1,1.0,2,9134,9.0,1.937272741480493,3.0
5,3,3,1.0,2,10791,24.0,-0.4403155867513323,6.0
3,3,3,2.0,1,12819,24.0,0.32464761450586366,6.0
1,3,3,1.0,1,6893,21.0,-0.7297611223621632,3.0
7,1,1,0.0,1,7240,9.0,-1.0088693174154644,3.0
6,1,5,0.0,1,3898,3.0,-0.9985319768579347,4.0
1,5,6,0.0,1,4049,3.0,-1.1639294257784096,4.0
3,3,3,1.0,2,10262,15.0,1.017249431860352,6.0
4,4,4,0.0,3,3332,21.0,-1.0708933607606426,3.0
3,2,2,1.0,2,10844,9.0,0.49004506342633847,6.0
3,1,1,0.0,1,7229,24.0,-1.0192066579729941,3.0
3,2,2,1.0,1,13941,6.0,1.3997310324889498,5.0
1,3,3,1.0,1,5894,27.0,-0.16120739169803106,6.0
5,3,3,1.0,1,10197,18.0,-0.10952068891038269,5.0
3,1,1,1.0,2,13712,6.0,1.2963576269136532,3.0
1,3,3,1.0,1,5636,24.0,-0.6780744195745149,6.0
3,3,3,2.0,1,13014,6.0,0.9759000696302332,6.0
3,2,2,1.0,2,7064,1.0,0.17992484670044823,4.0
3,2,2,1.0,2,10703,24.0,0.8828640046124662,5.0
5,3,3,1.0,1,9646,27.0,-0.20255675392814976,5.0
5,3,3,1.0,1,17057,6.0,0.024864738337503092,3.0
3,1,1,1.0,1,13817,12.0,0.8208399612672881,3.0
2,3,3,2.0,1,13748,6.0,0.30397293339080433,3.0
2,2,2,0.0,1,4880,21.0,-1.0295439985305237,4.0
1,4,4,0.0,1,3540,21.0,-1.050218679645583,6.0
4,1,5,0.0,3,3257,15.0,-1.0192066579729941,5.0
3,1,5,0.0,2,6478,3.0,-0.9778572957428754,6.0
3,5,6,0.0,1,8040,18.0,-1.1742667663359392,6.0
3,3,3,2.0,1,14300,12.0,0.7071292151344617,6.0
3,2,2,1.0,1,14781,15.0,0.17992484670044823,5.0
3,2,2,1.0,1,14939,9.0,0.16958750614291854,6.0
3,3,3,1.0,2,10262,24.0,-0.41964090563627293,6.0
2,2,2,1.0,1,6528,12.0,1.6271525247546028,5.0
2,1,5,0.0,1,6121,1.0,-1.0088693174154644,5.0
3,3,3,2.0,2,13029,18.0,-0.24390611615826846,5.0
5,3,3,1.0,1,11421,27.0,-0.46099026786639163,3.0
5,3,3,1.0,1,7574,27.0,0.44869570119621977,3.0
2,3,3,2.0,1,11596,9.0,2.412790407126858,5.0
3,3,3,2.0,1,15129,24.0,1.1206228374356486,5.0
3,1,1,1.0,1,13555,18.0,0.5107197445413978,3.0
1,1,5,0.0,1,5780,12.0,-0.988194636300405,4.0
7,2,2,1.0,1,9397,12.0,0.2316115494880966,5.0
3,3,3,1.0,1,17024,6.0,-0.08884600779532334,3.0
6,3,3,1.0,1,5281,27.0,-0.6160503762293368,6.0
5,3,3,1.0,1,10348,18.0,0.5624064473290462,5.0
2,3,3,1.0,1,12677,6.0,0.6451051717892836,3.0
5,3,3,1.0,1,15147,3.0,-0.08884600779532334,3.0
7,1,5,0.0,1,4668,12.0,-1.0192066579729941,6.0
3,3,3,1.0,1,15554,9.0,0.12823814391279983,5.0
4,1,5,0.0,1,3971,9.0,-1.0192066579729941,4.0
2,5,6,0.0,1,3100,3.0,-1.1742667663359392,5.0
3,2,2,1.0,2,9663,6.0,0.3970089984085714,5.0
2,3,3,1.0,1,27430,1.0,1.1619721996657673,3.0
1,4,4,0.0,1,3540,12.0,-1.050218679645583,5.0
2,2,2,2.0,1,10676,21.0,1.523779119179306,5.0
3,2,2,1.0,1,13044,12.0,0.9035386857275255,6.0
3,2,2,1.0,1,14388,6.0,0.634767831231754,5.0
1,1,5,0.0,1,3943,24.0,-0.9985319768579347,6.0
1,4,4,0.0,1,3597,3.0,-1.0605560202031128,6.0
2,1,1,1.0,1,5932,21.0,-0.3576168622910949,3.0
3,3,3,1.0,2,10262,15.0,0.7484785773645803,6.0
7,3,3,0.0,1,6216,12.0,-0.9571826146278161,5.0
1,2,2,0.0,1,4804,15.0,-1.0088693174154644,6.0
5,3,3,1.0,1,14067,21.0,0.38667165785104174,5.0
3,3,3,2.0,1,15129,18.0,1.6064778436395435,5.0
3,3,3,2.0,1,13376,6.0,1.3377069891437718,6.0
2,3,3,2.0,1,10441,27.0,1.2860202863561234,6.0
3,1,5,0.0,2,4030,24.0,-1.0088693174154644,5.0
3,3,3,1.0,1,17024,3.0,-0.006147283335085932,3.0
5,3,3,1.0,1,13017,9.0,-0.3576168622910949,4.0
6,2,2,1.0,1,6686,6.0,-0.32660484061850587,6.0
1,3,3,1.0,1,5636,15.0,-0.6780744195745149,6.0
1,3,3,1.0,1,6442,9.0,-0.28525547838838716,6.0
5,3,3,1.0,1,9486,21.0,0.11790080335527017,5.0
3,2,2,1.0,2,10844,21.0,2.0716581687283786,5.0
3,3,3,2.0,2,15318,3.0,-0.3059301595034465,6.0
2,3,3,1.0,1,5117,3.0,1.2446709241260048,4.0
1,3,3,1.0,1,6147,24.0,-0.7504358034772225,6.0
5,3,3,1.0,1,7005,9.0,-0.3369421811760355,6.0
4,2,2,0.0,1,3873,3.0,-1.0605560202031128,4.0
3,3,3,2.0,2,9270,21.0,1.6788392275422512,3.0
6,1,5,0.0,1,3898,27.0,-0.9985319768579347,6.0
3,2,2,1.0,1,14781,12.0,0.17992484670044823,5.0
3,2,2,1.0,2,8586,24.0,0.16958750614291854,5.0
2,2,2,2.0,1,10697,9.0,1.5754658219669544,5.0
3,3,3,2.0,1,14300,27.0,0.7071292151344617,6.0
1,1,1,0.0,1,8855,3.0,-0.9985319768579347,3.0
3,2,2,1.0,2,10844,12.0,1.8442366764627258,5.0
3,3,3,1.0,1,17024,6.0,1.8959233792503742,3.0
3,2,2,1.0,2,9314,1.0,2.226718277091324,5.0
1,1,1,0.0,1,4777,24.0,-1.0088693174154644,3.0
2,2,2,1.0,1,7662,9.0,1.7822126331175479,6.0
1,3,3,1.0,1,6442,9.0,-0.1922194133706201,5.0
4,3,3,1.0,1,5264,12.0,-0.7917851657073413,6.0
3,3,3,1.0,2,12898,27.0,0.5624064473290462,5.0
2,5,6,0.0,1,6092,3.0,-1.1639294257784096,3.0
4,1,5,0.0,1,3311,21.0,-1.0192066579729941,5.0
3,3,3,1.0,2,6540,27.0,-0.21289409448567945,3.0
1,1,5,0.0,1,3419,27.0,-1.0088693174154644,5.0
3,3,3,1.0,2,5177,3.0,1.4514177352765982,4.0
2,3,3,0.0,1,8246,18.0,-0.9675199551853457,4.0
3,2,2,1.0,1,14676,9.0,0.07655144112515147,6.0
5,3,3,1.0,1,13587,27.0,-0.17154473225556074,6.0
3,2,2,1.0,2,9663,6.0,0.15925016558538888,5.0
3,2,2,1.0,1,13044,12.0,0.8311773018248177,6.0
1,3,3,1.0,1,5073,3.0,-0.7194237818046335,4.0
7,2,2,1.0,1,9345,21.0,1.8545740170202556,5.0
3,2,2,1.0,2,9663,6.0,1.1309601779931784,5.0
5,3,3,1.0,1,14277,21.0,0.26262357116068563,5.0
3,3,3,1.0,2,10262,1.0,0.9345507074001145,6.0
3,5,6,0.0,1,5678,27.0,-1.1639294257784096,3.0
5,3,3,1.0,1,13727,15.0,-0.17154473225556074,5.0
3,2,2,1.0,2,9663,6.0,0.634767831231754,5.0
1,4,4,0.0,1,3858,12.0,-1.0605560202031128,5.0
4,3,3,1.0,1,4812,24.0,-0.7917851657073413,6.0
1,3,3,1.0,1,5775,27.0,-0.6367250573443961,6.0
3,2,2,1.0,2,10539,6.0,1.6478272058696621,6.0
1,2,2,0.0,1,4804,3.0,-1.0295439985305237,6.0
8,1,5,0.0,1,3383,12.0,-1.0088693174154644,6.0
1,1,1,1.0,1,8738,3.0,-0.7400984629196928,3.0
2,3,3,1.0,1,7165,27.0,1.8235619953476665,3.0
1,3,3,1.0,1,6412,24.0,-0.5643636734416884,6.0
3,1,5,0.0,1,8016,27.0,-0.9675199551853457,6.0
3,1,1,1.0,2,11087,12.0,0.9655627290727036,3.0
4,4,4,0.0,3,3543,27.0,-1.0708933607606426,6.0
3,2,2,1.0,1,12471,12.0,0.15925016558538888,6.0
3,3,3,1.0,2,10262,24.0,1.0585987940904706,6.0
2,1,1,0.0,1,4441,18.0,-0.9985319768579347,3.0
5,3,3,1.0,1,12537,27.0,-0.3059301595034465,3.0
6,2,2,1.0,1,10091,24.0,-0.20255675392814976,3.0
2,1,5,0.0,1,6961,3.0,-0.9985319768579347,6.0
1,3,3,0.0,1,5013,24.0,-0.9468452740702864,4.0
2,3,3,0.0,1,6934,18.0,-0.9985319768579347,5.0
5,3,3,1.0,1,10877,3.0,0.17992484670044823,6.0
3,1,5,0.0,1,7229,18.0,-0.988194636300405,4.0
1,3,3,1.0,1,7048,27.0,-0.16120739169803106,3.0
7,1,5,0.0,1,4878,27.0,-1.0295439985305237,6.0
3,2,2,1.0,2,10844,21.0,-0.17154473225556074,5.0
3,3,3,2.0,1,15129,18.0,2.2887423204365023,5.0
1,1,5,0.0,1,3943,12.0,-0.988194636300405,5.0
4,3,3,1.0,1,5583,6.0,-0.6987491006895742,6.0
5,3,3,1.0,1,9646,6.0,-0.2232314350432091,6.0
5,3,3,1.0,1,7677,3.0,-0.016484623892615607,6.0
1,3,3,1.0,1,6842,1.0,-0.7400984629196928,6.0
3,5,6,0.0,2,4995,24.0,-1.1639294257784096,6.0
7,2,2,1.0,1,9555,9.0,0.09722612224021082,6.0
1,1,5,0.0,1,4077,1.0,-1.0088693174154644,6.0
3,1,5,0.0,1,7229,12.0,-0.988194636300405,5.0
5,3,3,1.0,1,12192,9.0,-0.10952068891038269,6.0
2,1,5,0.0,1,5911,12.0,-1.0088693174154644,4.0
2,3,3,1.0,1,8372,12.0,-0.07850866723779366,6.0
3,5,6,0.0,2,4995,18.0,-1.1742667663359392,3.0
5,3,3,1.0,1,14323,9.0,-0.20255675392814976,5.0
3,3,3,2.0,1,13014,9.0,1.4927670975067169,6.0
2,3,3,2.0,1,13591,6.0,2.226718277091324,6.0
3,3,3,2.0,1,18799,3.0,0.0,3.0
1,1,5,0.0,1,3943,27.0,-0.9985319768579347,4.0
4,5,6,0.0,3,1965,21.0,-1.1639294257784096,5.0
3,5,6,0.0,2,4995,27.0,-1.1639294257784096,5.0
2,2,2,1.0,1,14641,24.0,1.8338993359051963,3.0
2,2,2,0.0,1,4460,12.0,-1.0295439985305237,4.0
2,3,3,1.0,1,10191,18.0,-0.574701013999218,5.0
3,3,3,1.0,2,13843,9.0,0.8208399612672881,3.0
1,3,3,1.0,1,6349,1.0,-0.6367250573443961,5.0
8,2,2,0.0,1,4409,1.0,-1.0295439985305237,5.0
3,3,3,1.0,1,17024,6.0,1.813224654790137,3.0
5,3,3,1.0,1,13727,18.0,0.3763343172935121,5.0
1,1,1,0.0,1,8855,15.0,-0.988194636300405,3.0
5,3,3,1.0,1,12524,24.0,-0.07850866723779366,6.0
3,1,1,1.0,1,13555,18.0,-0.2749181378308575,3.0
3,2,2,1.0,2,10844,6.0,-0.6677370790169851,6.0
5,3,3,1.0,1,13587,9.0,0.13857548447032952,6.0
4,4,4,0.0,3,3543,12.0,-1.0708933607606426,6.0
7,4,4,0.0,1,4842,18.0,-1.0708933607606426,3.0
1,1,5,0.0,1,3943,24.0,-0.9985319768579347,4.0
3,3,3,1.0,2,10577,9.0,-0.21289409448567945,6.0
1,3,3,1.0,1,6979,15.0,-0.057833986122734306,5.0
7,4,4,0.0,1,11982,27.0,-1.0605560202031128,6.0
4,3,3,1.0,1,5264,6.0,-0.7917851657073413,6.0
7,3,3,0.0,1,8001,3.0,-0.9571826146278161,3.0
2,3,3,2.0,1,10651,1.0,1.5651284814094246,6.0
3,2,2,1.0,2,10844,24.0,2.04064614705579,5.0
5,3,3,1.0,1,6601,27.0,0.21093686837303724,3.0
2,3,3,1.0,1,6587,21.0,1.6581645464271917,3.0
4,5,6,0.0,1,3173,21.0,-1.184604106893469,3.0
2,1,5,0.0,1,5228,9.0,-1.0088693174154644,5.0
3,1,5,0.0,2,5769,21.0,-0.9778572957428754,6.0
3,3,3,1.0,1,14714,6.0,0.014527397779973418,6.0
3,3,3,2.0,1,13014,3.0,0.32464761450586366,6.0
1,1,5,0.0,1,3359,3.0,-0.9985319768579347,6.0
6,1,1,0.0,1,6722,3.0,-0.988194636300405,3.0
1,2,2,0.0,1,4462,18.0,-1.0088693174154644,3.0
1,3,3,1.0,1,6171,9.0,0.045539419452562444,3.0
2,2,2,2.0,1,12303,21.0,0.4590330417537494,5.0
5,3,3,1.0,1,7695,21.0,0.3763343172935121,3.0
1,3,3,1.0,1,5684,24.0,0.3970089984085714,6.0
2,2,2,1.0,1,8366,12.0,0.5210570850989275,6.0
2,4,4,0.0,1,19630,1.0,-1.0708933607606426,3.0
3,1,1,1.0,2,13502,6.0,0.5107197445413978,3.0
3,2,2,1.0,1,14781,1.0,0.25228623060315597,5.0
5,3,3,1.0,1,6513,12.0,-0.2335687756007388,6.0
2,3,3,1.0,1,9929,1.0,0.16958750614291854,6.0
5,3,3,2.0,1,18275,6.0,-0.3989662245212136,6.0
2,3,3,1.0,1,4487,9.0,2.04064614705579,4.0
1,5,6,0.0,1,2754,15.0,-1.1742667663359392,3.0
2,5,6,0.0,1,2575,27.0,-1.184604106893469,3.0
4,2,2,1.0,1,8224,12.0,-0.6677370790169851,6.0
2,3,3,1.0,1,8991,9.0,0.1075634627977405,3.0
1,3,3,0.0,1,5000,24.0,-0.9468452740702864,6.0
3,2,2,1.0,2,8529,12.0,1.7408632708874292,6.0
2,3,3,1.0,1,14042,3.0,2.04064614705579,3.0
3,1,5,0.0,2,4030,24.0,-0.988194636300405,5.0
3,2,2,1.0,2,10844,6.0,0.7691532584796397,6.0
1,2,2,0.0,1,4804,6.0,-1.0192066579729941,5.0
5,3,3,1.0,2,7308,27.0,-0.3576168622910949,5.0
1,1,5,0.0,1,4823,12.0,-0.9778572957428754,5.0
3,3,3,1.0,2,10262,24.0,2.0716581687283786,6.0
3,3,3,1.0,2,12898,27.0,-0.41964090563627293,5.0
2,1,1,2.0,1,12778,12.0,1.4927670975067169,3.0
1,3,3,1.0,1,14871,3.0,-0.28525547838838716,3.0
2,3,3,2.0,1,8708,21.0,2.36110370433921,3.0
3,2,2,1.0,2,10844,6.0,1.4100683730464796,6.0
4,5,6,0.0,1,4129,6.0,-1.184604106893469,3.0
1,2,2,0.0,1,4804,18.0,-1.0192066579729941,5.0
3,1,5,0.0,1,7229,6.0,-0.9778572957428754,5.0
3,1,1,1.0,2,7832,21.0,0.15925016558538888,3.0
4,4,4,0.0,1,3859,18.0,-1.0295439985305237,3.0
5,3,3,1.0,1,9001,6.0,0.1075634627977405,6.0
7,1,5,0.0,1,4878,9.0,-1.0295439985305237,5.0
1,5,6,0.0,1,2754,3.0,-1.1639294257784096,5.0
7,1,5,0.0,1,4668,27.0,-1.0192066579729941,6.0
8,2,2,0.0,1,5216,12.0,-1.0295439985305237,5.0
3,3,3,2.0,2,10368,6.0,1.4927670975067169,6.0
1,3,3,2.0,1,8146,9.0,0.46937038231127914,3.0
3,3,3,1.0,1,12242,27.0,0.5624064473290462,3.0
3,1,1,1.0,2,9134,15.0,-0.450652927308862,3.0
2,3,3,2.0,1,10939,6.0,1.1516348591082377,6.0
2,3,3,2.0,1,11753,6.0,1.2239962430109455,6.0
4,2,2,0.0,1,4174,24.0,-1.0398813390880535,4.0
3,2,2,1.0,2,10844,21.0,1.6064778436395435,5.0
3,3,3,1.0,1,14714,3.0,1.999296784825671,6.0
3,2,2,1.0,2,9899,12.0,-0.6677370790169851,6.0
1,3,3,1.0,1,14871,3.0,0.11790080335527017,3.0
1,4,4,0.0,1,7295,6.0,-1.0708933607606426,3.0
2,3,3,2.0,1,13465,6.0,1.6891765680997808,6.0
4,4,4,0.0,3,3543,21.0,-1.0605560202031128,5.0
5,3,3,1.0,1,7198,27.0,-0.543688992326629,6.0
3,3,3,1.0,2,10262,1.0,1.1826468807808268,6.0
1,2,2,0.0,1,4148,15.0,-1.0295439985305237,3.0
3,1,5,0.0,1,8016,27.0,-0.988194636300405,6.0
3,3,3,1.0,2,10262,9.0,-0.6573997384594554,6.0
4,2,2,0.0,3,3841,15.0,-1.0398813390880535,6.0
3,1,1,1.0,1,11507,12.0,0.4797077228688088,3.0
3,2,2,1.0,1,14781,1.0,0.17992484670044823,5.0
3,3,3,1.0,1,16079,27.0,1.813224654790137,5.0
3,3,3,1.0,2,12898,27.0,-0.6573997384594554,5.0
5,3,3,1.0,1,15353,6.0,0.1075634627977405,3.0
1,1,1,0.0,1,7303,24.0,-0.988194636300405,3.0
4,2,2,1.0,1,6197,24.0,-0.6470623979019258,3.0
2,2,2,1.0,1,8996,9.0,-0.8434718684949897,6.0
1,3,3,1.0,1,6528,21.0,-0.3576168622910949,3.0
6,1,5,0.0,1,4239,9.0,-1.0088693174154644,4.0
1,2,2,0.0,1,4148,12.0,-1.0192066579729941,3.0
4,1,5,0.0,1,3971,24.0,-0.988194636300405,5.0
8,2,2,1.0,1,5192,6.0,0.6244304906742243,5.0
3,3,3,2.0,1,9483,9.0,1.523779119179306,4.0
3,3,3,2.0,1,18804,3.0,-0.4403155867513323,6.0
2,3,3,0.0,1,5201,18.0,-0.9985319768579347,6.0
3,3,3,1.0,1,16079,27.0,-0.41964090563627293,5.0
3,1,5,0.0,2,7229,15.0,-0.9778572957428754,6.0
5,3,3,1.0,1,6795,27.0,-0.3886288839636839,5.0
3,2,2,1.0,1,10953,9.0,1.7925499736750776,5.0
5,3,3,2.0,1,15965,24.0,-0.057833986122734306,6.0
2,3,3,2.0,1,9968,9.0,2.412790407126858,4.0
1,2,2,0.0,1,4804,6.0,-1.0295439985305237,6.0
3,3,3,1.0,1,16079,27.0,-0.2335687756007388,5.0
3,3,3,2.0,2,11507,12.0,0.5313944256564572,6.0
2,2,2,2.0,1,11542,9.0,2.164694233746146,6.0
3,1,5,0.0,1,7229,24.0,-0.9778572957428754,4.0
3,1,5,0.0,2,4544,27.0,-1.0088693174154644,4.0
1,3,3,1.0,1,6496,15.0,-0.7400984629196928,5.0
1,2,2,0.0,1,4804,15.0,-1.0192066579729941,6.0
2,1,1,1.0,1,13439,1.0,1.3997310324889498,3.0
3,3,3,1.0,2,6540,27.0,-0.08884600779532334,3.0
1,1,5,0.0,1,4591,1.0,-0.9985319768579347,6.0
1,1,1,1.0,1,4437,18.0,-0.8124598468224006,3.0
8,3,3,1.0,1,6151,21.0,0.014527397779973418,3.0
3,1,5,0.0,2,7754,21.0,-0.9778572957428754,6.0
3,3,3,1.0,2,10262,24.0,1.4514177352765982,6.0
3,1,5,0.0,1,8016,9.0,-0.9675199551853457,6.0
4,2,2,0.0,3,4781,24.0,-1.0192066579729941,3.0
7,1,5,0.0,1,4668,27.0,-0.9985319768579347,6.0
2,1,1,1.0,1,14594,6.0,1.265345605241064,3.0
3,2,2,1.0,1,14231,24.0,0.11790080335527017,3.0
2,3,3,1.0,1,8425,15.0,1.8235619953476665,5.0
5,3,3,1.0,1,9646,12.0,0.5624064473290462,6.0
1,4,4,0.0,1,7295,3.0,-1.050218679645583,3.0
8,2,2,1.0,1,5162,9.0,-0.895158571282638,4.0
1,1,1,0.0,1,6860,9.0,-0.988194636300405,3.0
7,3,3,0.0,1,6216,15.0,-0.9571826146278161,4.0
8,2,2,1.0,1,5192,24.0,0.11790080335527017,5.0
1,1,5,0.0,1,4823,9.0,-0.9985319768579347,4.0
4,1,5,0.0,3,3919,3.0,-0.9985319768579347,4.0
1,5,6,0.0,1,2754,3.0,-1.1639294257784096,6.0
5,3,3,1.0,1,9315,9.0,0.07655144112515147,5.0
5,3,3,1.0,1,11667,27.0,-0.2542434567157981,3.0
3,2,2,1.0,2,6224,12.0,1.1619721996657673,6.0
2,2,2,2.0,1,13349,24.0,1.1516348591082377,3.0
3,1,1,1.0,2,11087,18.0,0.6451051717892836,3.0
5,3,3,1.0,1,15603,6.0,0.21093686837303724,3.0
3,3,3,2.0,1,15129,9.0,0.7691532584796397,5.0
1,1,5,0.0,1,4823,9.0,-0.9778572957428754,4.0
7,2,2,1.0,1,8452,1.0,0.5727437878865759,5.0
5,3,3,1.0,1,12524,6.0,0.07655144112515147,6.0
4,4,4,0.0,1,3384,27.0,-1.0605560202031128,3.0
3,3,3,1.0,2,10262,1.0,1.5961405030820137,6.0
4,5,6,0.0,3,1965,18.0,-1.1639294257784096,6.0
1,2,2,0.0,1,4804,18.0,-1.0295439985305237,5.0
3,3,3,1.0,1,16079,27.0,1.7201885897723699,5.0
3,3,3,2.0,1,13292,1.0,1.327369648586242,6.0
8,3,3,1.0,1,6751,9.0,-0.6677370790169851,5.0
2,3,3,1.0,1,8669,15.0,0.16958750614291854,5.0
1,3,3,1.0,1,14871,3.0,-0.3472795217335652,3.0
3,3,3,1.0,2,12898,21.0,-0.7297611223621632,5.0
4,1,5,0.0,3,3919,6.0,-0.9985319768579347,6.0
5,3,3,1.0,1,36983,1.0,-0.5540263328841587,3.0
2,1,1,0.0,1,10741,9.0,-1.0088693174154644,3.0
2,2,2,2.0,1,11432,6.0,0.2316115494880966,6.0
3,1,1,1.0,2,11087,12.0,0.6140931501166946,3.0
3,3,3,2.0,1,13292,3.0,1.999296784825671,6.0
2,3,3,0.8494545454545455,1,10493,15.0,1.9269354009229633,6.0
6,1,1,0.0,1,7631,9.0,-0.988194636300405,3.0
2,3,3,2.0,1,13381,6.0,1.7305259303298994,6.0
3,2,2,1.0,1,13731,6.0,-0.2749181378308575,6.0
2,3,3,2.0,1,11911,21.0,1.8442366764627258,5.0
1,1,5,0.0,1,4591,18.0,-0.9985319768579347,4.0
5,3,3,1.0,1,14848,3.0,-0.574701013999218,6.0
5,3,3,1.0,1,8266,12.0,-0.04749664556520463,6.0
2,3,3,2.0,1,12392,18.0,1.875248698135315,5.0
3,2,2,1.0,1,13044,12.0,0.7691532584796397,6.0
3,3,3,1.0,2,12898,21.0,1.2963576269136532,5.0
3,3,3,1.0,1,12242,21.0,-0.6573997384594554,3.0
1,1,5,0.0,1,3943,18.0,-0.9985319768579347,5.0
7,2,2,1.0,1,11105,24.0,1.8545740170202556,3.0
3,2,2,1.0,1,14388,12.0,0.15925016558538888,5.0
3,3,3,2.0,1,13014,18.0,0.7691532584796397,5.0
5,3,3,1.0,1,15411,6.0,-0.2955928189459168,3.0
3,3,3,1.0,1,16289,9.0,1.5134417786217764,3.0
1,3,3,1.0,1,6442,15.0,-0.1922194133706201,5.0
3,2,2,1.0,2,10844,18.0,-0.36795420284862457,5.0
3,5,6,0.0,1,5678,18.0,-1.1639294257784096,5.0
1,1,5,0.0,1,6906,12.0,-0.9985319768579347,4.0
4,4,4,0.0,3,3543,21.0,-1.0708933607606426,5.0
3,3,3,1.0,1,14714,6.0,-0.10952068891038269,6.0
9,1,1,0.0,1,11793,3.0,-1.0295439985305237,3.0
5,3,3,1.0,1,14323,15.0,-0.3886288839636839,5.0
4,1,5,0.0,1,3971,9.0,-0.988194636300405,4.0
