Airline,Source,Destination,Flight_Duration,Total_Stops,Additional_Info,Day_of_Journey,Month_of_Journey,Year_of_Journey,Price
IndiGo,Mumbai,Hyderabad,90,0,No info,3,4,2019,4049
Jet Airways,Delhi,Cochin,1145,1,In-flight meal not included,15,6,2019,10262
SpiceJet,Chennai,Kolkata,135,0,No check-in baggage included,21,3,2019,3332
Jet Airways,Kolkata,Banglore,890,1,In-flight meal not included,9,6,2019,10844
Jet Airways,Banglore,New Delhi,160,0,No info,24,3,2019,7229
Jet Airways,Kolkata,Banglore,1330,1,No info,6,5,2019,13941
IndiGo,Delhi,Cochin,575,1,No info,27,6,2019,5894
Multiple carriers,Delhi,Cochin,600,1,No info,18,5,2019,10197
Jet Airways,Banglore,New Delhi,1280,1,In-flight meal not included,6,3,2019,13712
IndiGo,Delhi,Cochin,325,1,No info,24,6,2019,5636
Jet Airways,Delhi,Cochin,1125,2,No info,6,6,2019,13014
Jet Airways,Kolkata,Banglore,740,1,In-flight meal not included,1,4,2019,7064
Jet Airways,Kolkata,Banglore,1080,1,In-flight meal not included,24,5,2019,10703
Multiple carriers,Delhi,Cochin,555,1,No info,27,5,2019,9646
Multiple carriers,Delhi,Cochin,665,1,No info,6,3,2019,17057
Jet Airways,Banglore,New Delhi,1050,1,No info,12,3,2019,13817
Air India,Delhi,Cochin,800,2,No info,6,3,2019,13748
Air India,Kolkata,Banglore,155,0,No info,21,4,2019,4880
IndiGo,Chennai,Kolkata,145,0,No info,21,6,2019,3540
SpiceJet,Banglore,Delhi,160,0,No check-in baggage included,15,5,2019,3257
Jet Airways,Banglore,Delhi,180,0,In-flight meal not included,3,6,2019,6478
Jet Airways,Mumbai,Hyderabad,85,0,No info,18,6,2019,8040
Jet Airways,Delhi,Cochin,995,2,No info,12,6,2019,14300
Jet Airways,Kolkata,Banglore,740,1,No info,15,5,2019,14781
Jet Airways,Kolkata,Banglore,735,1,No info,9,6,2019,14939
Jet Airways,Delhi,Cochin,450,1,In-flight meal not included,24,6,2019,10262
Air India,Kolkata,Banglore,1440,1,No info,12,5,2019,6528
Air India,Banglore,Delhi,165,0,No info,1,5,2019,6121
Jet Airways,Delhi,Cochin,535,2,In-flight meal not included,18,5,2019,13029
Multiple carriers,Delhi,Cochin,430,1,No info,27,3,2019,11421
Multiple carriers,Delhi,Cochin,870,1,No info,27,3,2019,7574
Air India,Delhi,Cochin,1820,2,No info,9,5,2019,11596
Jet Airways,Delhi,Cochin,1195,2,No info,24,5,2019,15129
Jet Airways,Banglore,New Delhi,900,1,No info,18,3,2019,13555
IndiGo,Banglore,Delhi,175,0,No info,12,4,2019,5780
Vistara,Kolkata,Banglore,765,1,No info,12,5,2019,9397
Jet Airways,Delhi,Cochin,610,1,No info,6,3,2019,17024
GoAir,Delhi,Cochin,355,1,No info,27,6,2019,5281
Multiple carriers,Delhi,Cochin,925,1,No info,18,5,2019,10348
Air India,Delhi,Cochin,965,1,No info,6,3,2019,12677
Multiple carriers,Delhi,Cochin,610,1,No info,3,3,2019,15147
Vistara,Banglore,Delhi,160,0,No info,12,6,2019,4668
Jet Airways,Delhi,Cochin,715,1,No info,9,5,2019,15554
SpiceJet,Banglore,Delhi,160,0,No info,9,4,2019,3971
Air India,Mumbai,Hyderabad,85,0,No info,3,5,2019,3100
Jet Airways,Kolkata,Banglore,845,1,In-flight meal not included,6,5,2019,9663
Air India,Delhi,Cochin,1215,1,No info,1,3,2019,27430
IndiGo,Chennai,Kolkata,145,0,No info,12,5,2019,3540
Air India,Kolkata,Banglore,1390,2,No info,21,5,2019,10676
Jet Airways,Kolkata,Banglore,1090,1,No info,12,6,2019,13044
Jet Airways,Kolkata,Banglore,960,1,No info,6,5,2019,14388
IndiGo,Banglore,Delhi,170,0,No info,24,6,2019,3943
IndiGo,Chennai,Kolkata,140,0,No info,3,6,2019,3597
Air India,Banglore,New Delhi,480,1,No info,21,3,2019,5932
Jet Airways,Delhi,Cochin,1015,1,In-flight meal not included,15,6,2019,10262
Vistara,Delhi,Cochin,190,0,No info,12,5,2019,6216
IndiGo,Kolkata,Banglore,165,0,No info,15,6,2019,4804
Multiple carriers,Delhi,Cochin,840,1,No info,21,5,2019,14067
Jet Airways,Delhi,Cochin,1430,2,No info,18,5,2019,15129
Jet Airways,Delhi,Cochin,1300,2,No info,6,6,2019,13376
Air India,Delhi,Cochin,1275,2,No info,27,6,2019,10441
Jet Airways,Banglore,Delhi,165,0,In-flight meal not included,24,5,2019,4030
Jet Airways,Delhi,Cochin,650,1,No info,3,3,2019,17024
Multiple carriers,Delhi,Cochin,480,1,No info,9,4,2019,13017
GoAir,Kolkata,Banglore,495,1,No info,6,6,2019,6686
IndiGo,Delhi,Cochin,325,1,No info,15,6,2019,5636
IndiGo,Delhi,Cochin,515,1,No info,9,6,2019,6442
Multiple carriers,Delhi,Cochin,710,1,No info,21,5,2019,9486
Jet Airways,Kolkata,Banglore,1655,1,In-flight meal not included,21,5,2019,10844
Jet Airways,Delhi,Cochin,505,2,In-flight meal not included,3,6,2019,15318
Air India,Delhi,Cochin,1255,1,No info,3,4,2019,5117
IndiGo,Delhi,Cochin,290,1,No info,24,6,2019,6147
Multiple carriers,Delhi,Cochin,490,1,No info,9,6,2019,7005
SpiceJet,Kolkata,Banglore,140,0,No info,3,4,2019,3873
Jet Airways,Delhi,Cochin,1465,2,In-flight meal not included,21,3,2019,9270
GoAir,Banglore,Delhi,170,0,No info,27,6,2019,3898
Jet Airways,Kolkata,Banglore,740,1,No info,12,5,2019,14781
Jet Airways,Kolkata,Banglore,735,1,In-flight meal not included,24,5,2019,8586
Air India,Kolkata,Banglore,1415,2,No info,9,5,2019,10697
Jet Airways,Delhi,Cochin,995,2,No info,27,6,2019,14300
IndiGo,Banglore,New Delhi,170,0,No info,3,3,2019,8855
Jet Airways,Kolkata,Banglore,1545,1,In-flight meal not included,12,5,2019,10844
Jet Airways,Delhi,Cochin,1570,1,No info,6,3,2019,17024
Jet Airways,Kolkata,Banglore,1730,1,In-flight meal not included,1,5,2019,9314
IndiGo,Banglore,New Delhi,165,0,No info,24,3,2019,4777
Air India,Kolkata,Banglore,1515,1,No info,9,6,2019,7662
IndiGo,Delhi,Cochin,560,1,No info,9,5,2019,6442
SpiceJet,Delhi,Cochin,270,1,No info,12,6,2019,5264
Jet Airways,Delhi,Cochin,925,1,In-flight meal not included,27,5,2019,12898
Air India,Mumbai,Hyderabad,90,0,No info,3,3,2019,6092
SpiceJet,Banglore,Delhi,160,0,No info,21,5,2019,3311
Jet Airways,Delhi,Cochin,550,1,In-flight meal not included,27,3,2019,6540
IndiGo,Banglore,Delhi,165,0,No info,27,5,2019,3419
Jet Airways,Delhi,Cochin,1355,1,In-flight meal not included,3,4,2019,5177
Air India,Delhi,Cochin,185,0,No info,18,4,2019,8246
Jet Airways,Kolkata,Banglore,690,1,No info,9,6,2019,14676
Multiple carriers,Delhi,Cochin,570,1,No info,27,6,2019,13587
Jet Airways,Kolkata,Banglore,730,1,In-flight meal not included,6,5,2019,9663
Jet Airways,Kolkata,Banglore,1055,1,No info,12,6,2019,13044
IndiGo,Delhi,Cochin,305,1,No info,3,4,2019,5073
Vistara,Kolkata,Banglore,1550,1,No info,21,5,2019,9345
Jet Airways,Kolkata,Banglore,1200,1,In-flight meal not included,6,5,2019,9663
Multiple carriers,Delhi,Cochin,780,1,No info,21,5,2019,14277
Jet Airways,Delhi,Cochin,1105,1,In-flight meal not included,1,6,2019,10262
Jet Airways,Mumbai,Hyderabad,90,0,No info,27,3,2019,5678
Multiple carriers,Delhi,Cochin,570,1,No info,15,5,2019,13727
Jet Airways,Kolkata,Banglore,960,1,In-flight meal not included,6,5,2019,9663
IndiGo,Chennai,Kolkata,140,0,No info,12,5,2019,3858
SpiceJet,Delhi,Cochin,270,1,No info,24,6,2019,4812
IndiGo,Delhi,Cochin,345,1,No info,27,6,2019,5775
Jet Airways,Kolkata,Banglore,1450,1,In-flight meal not included,6,6,2019,10539
IndiGo,Kolkata,Banglore,155,0,No info,3,6,2019,4804
Air Asia,Banglore,Delhi,165,0,No info,12,6,2019,3383
IndiGo,Banglore,New Delhi,295,1,No info,3,3,2019,8738
Air India,Delhi,Cochin,1535,1,No info,27,3,2019,7165
IndiGo,Delhi,Cochin,380,1,No info,24,6,2019,6412
Jet Airways,Banglore,Delhi,185,0,No info,27,6,2019,8016
Jet Airways,Banglore,New Delhi,1120,1,In-flight meal not included,12,3,2019,11087
SpiceJet,Chennai,Kolkata,135,0,No check-in baggage included,27,6,2019,3543
Jet Airways,Kolkata,Banglore,730,1,No info,12,6,2019,12471
Jet Airways,Delhi,Cochin,1165,1,In-flight meal not included,24,6,2019,10262
Air India,Banglore,New Delhi,170,0,No info,18,3,2019,4441
Multiple carriers,Delhi,Cochin,505,1,No info,27,3,2019,12537
GoAir,Kolkata,Banglore,555,1,No info,24,3,2019,10091
Air India,Banglore,Delhi,170,0,No info,3,6,2019,6961
IndiGo,Delhi,Cochin,195,0,No info,24,4,2019,5013
Air India,Delhi,Cochin,170,0,No info,18,5,2019,6934
Multiple carriers,Delhi,Cochin,740,1,No info,3,6,2019,10877
Jet Airways,Banglore,Delhi,175,0,No info,18,4,2019,7229
IndiGo,Delhi,Cochin,575,1,No info,27,3,2019,7048
Vistara,Banglore,Delhi,155,0,No info,27,6,2019,4878
Jet Airways,Kolkata,Banglore,570,1,In-flight meal not included,21,5,2019,10844
Jet Airways,Delhi,Cochin,1760,2,No info,18,5,2019,15129
IndiGo,Banglore,Delhi,175,0,No info,12,5,2019,3943
SpiceJet,Delhi,Cochin,315,1,No info,6,6,2019,5583
Multiple carriers,Delhi,Cochin,545,1,No info,6,6,2019,9646
Multiple carriers,Delhi,Cochin,645,1,No info,3,6,2019,7677
IndiGo,Delhi,Cochin,295,1,No info,1,6,2019,6842
Jet Airways,Mumbai,Hyderabad,90,0,In-flight meal not included,24,6,2019,4995
Vistara,Kolkata,Banglore,700,1,No info,9,6,2019,9555
IndiGo,Banglore,Delhi,165,0,No info,1,6,2019,4077
Jet Airways,Banglore,Delhi,175,0,No info,12,5,2019,7229
Multiple carriers,Delhi,Cochin,600,1,No info,9,6,2019,12192
Air India,Banglore,Delhi,165,0,No info,12,4,2019,5911
Air India,Delhi,Cochin,615,1,No info,12,6,2019,8372
Jet Airways,Mumbai,Hyderabad,85,0,In-flight meal not included,18,3,2019,4995
Multiple carriers,Delhi,Cochin,555,1,No info,9,5,2019,14323
Jet Airways,Delhi,Cochin,1375,2,No info,9,6,2019,13014
Air India,Delhi,Cochin,1730,2,No info,6,6,2019,13591
Jet Airways,Delhi,Cochin,2245,2,No info,3,3,2019,18799
IndiGo,Banglore,Delhi,170,0,No info,27,4,2019,3943
SpiceJet,Mumbai,Hyderabad,90,0,No check-in baggage included,21,5,2019,1965
Jet Airways,Mumbai,Hyderabad,90,0,In-flight meal not included,27,5,2019,4995
Air India,Kolkata,Banglore,1540,1,No info,24,3,2019,14641
Air India,Kolkata,Banglore,155,0,No info,12,4,2019,4460
Air India,Delhi,Cochin,375,1,No info,18,5,2019,10191
Jet Airways,Delhi,Cochin,1050,1,In-flight meal not included,9,3,2019,13843
IndiGo,Delhi,Cochin,345,1,No info,1,5,2019,6349
Air Asia,Kolkata,Banglore,155,0,No info,1,5,2019,4409
Jet Airways,Delhi,Cochin,1530,1,No info,6,3,2019,17024
Multiple carriers,Delhi,Cochin,835,1,No info,18,5,2019,13727
IndiGo,Banglore,New Delhi,175,0,No info,15,3,2019,8855
Multiple carriers,Delhi,Cochin,615,1,No info,24,6,2019,12524
Jet Airways,Banglore,New Delhi,520,1,No info,18,3,2019,13555
Jet Airways,Kolkata,Banglore,330,1,In-flight meal not included,6,6,2019,10844
Multiple carriers,Delhi,Cochin,720,1,No info,9,6,2019,13587
SpiceJet,Chennai,Kolkata,135,0,No check-in baggage included,12,6,2019,3543
Vistara,Chennai,Kolkata,135,0,No info,18,3,2019,4842
IndiGo,Banglore,Delhi,170,0,No info,24,4,2019,3943
Jet Airways,Delhi,Cochin,550,1,In-flight meal not included,9,6,2019,10577
IndiGo,Delhi,Cochin,625,1,No info,15,5,2019,6979
Vistara,Chennai,Kolkata,140,0,No info,27,6,2019,11982
SpiceJet,Delhi,Cochin,270,1,No info,6,6,2019,5264
Vistara,Delhi,Cochin,190,0,No info,3,3,2019,8001
Air India,Delhi,Cochin,1410,2,No info,1,6,2019,10651
Jet Airways,Kolkata,Banglore,1640,1,In-flight meal not included,24,5,2019,10844
Multiple carriers,Delhi,Cochin,755,1,No info,27,3,2019,6601
Air India,Delhi,Cochin,1455,1,No info,21,3,2019,6587
SpiceJet,Mumbai,Hyderabad,80,0,No info,21,3,2019,3173
Air India,Banglore,Delhi,165,0,No info,9,5,2019,5228
Jet Airways,Banglore,Delhi,180,0,In-flight meal not included,21,6,2019,5769
Jet Airways,Delhi,Cochin,660,1,No info,6,6,2019,14714
Jet Airways,Delhi,Cochin,810,2,No info,3,6,2019,13014
IndiGo,Banglore,Delhi,170,0,No info,3,6,2019,3359
GoAir,Banglore,New Delhi,175,0,No info,3,3,2019,6722
IndiGo,Kolkata,Banglore,165,0,No info,18,3,2019,4462
IndiGo,Delhi,Cochin,675,1,No info,9,3,2019,6171
Air India,Kolkata,Banglore,875,2,No info,21,5,2019,12303
Multiple carriers,Delhi,Cochin,835,1,No info,21,3,2019,7695
IndiGo,Delhi,Cochin,845,1,No info,24,6,2019,5684
Air India,Kolkata,Banglore,905,1,No info,12,6,2019,8366
Air India,Chennai,Kolkata,135,0,No info,1,3,2019,19630
Jet Airways,Banglore,New Delhi,900,1,In-flight meal not included,6,3,2019,13502
Jet Airways,Kolkata,Banglore,775,1,No info,1,5,2019,14781
Multiple carriers,Delhi,Cochin,540,1,No info,12,6,2019,6513
Air India,Delhi,Cochin,735,1,No info,1,6,2019,9929
Multiple carriers,Delhi,Cochin,460,2,No info,6,6,2019,18275
Air India,Delhi,Cochin,1640,1,No info,9,4,2019,4487
IndiGo,Mumbai,Hyderabad,85,0,No info,15,3,2019,2754
Air India,Mumbai,Hyderabad,80,0,No info,27,3,2019,2575
SpiceJet,Kolkata,Banglore,330,1,No info,12,6,2019,8224
Air India,Delhi,Cochin,705,1,No info,9,3,2019,8991
IndiGo,Delhi,Cochin,195,0,No info,24,6,2019,5000
Jet Airways,Kolkata,Banglore,1495,1,In-flight meal not included,12,6,2019,8529
Air India,Delhi,Cochin,1640,1,No info,3,3,2019,14042
Jet Airways,Banglore,Delhi,175,0,In-flight meal not included,24,5,2019,4030
Jet Airways,Kolkata,Banglore,1025,1,In-flight meal not included,6,6,2019,10844
IndiGo,Kolkata,Banglore,160,0,No info,6,5,2019,4804
Multiple carriers,Delhi,Cochin,480,1,In-flight meal not included,27,5,2019,7308
IndiGo,Banglore,Delhi,180,0,No info,12,5,2019,4823
Jet Airways,Delhi,Cochin,1655,1,In-flight meal not included,24,6,2019,10262
Jet Airways,Delhi,Cochin,450,1,In-flight meal not included,27,5,2019,12898
Air India,Banglore,New Delhi,1375,2,No info,12,3,2019,12778
IndiGo,Delhi,Cochin,515,1,No info,3,3,2019,14871
Air India,Delhi,Cochin,1795,2,No info,21,3,2019,8708
Jet Airways,Kolkata,Banglore,1335,1,In-flight meal not included,6,6,2019,10844
SpiceJet,Mumbai,Hyderabad,80,0,No info,6,3,2019,4129
IndiGo,Kolkata,Banglore,160,0,No info,18,5,2019,4804
Jet Airways,Banglore,Delhi,180,0,No info,6,5,2019,7229
Jet Airways,Banglore,New Delhi,730,1,In-flight meal not included,21,3,2019,7832
SpiceJet,Chennai,Kolkata,155,0,No info,18,3,2019,3859
Multiple carriers,Delhi,Cochin,705,1,No info,6,6,2019,9001
Vistara,Banglore,Delhi,155,0,No info,9,5,2019,4878
IndiGo,Mumbai,Hyderabad,90,0,No info,3,5,2019,2754
Vistara,Banglore,Delhi,160,0,No info,27,6,2019,4668
Air Asia,Kolkata,Banglore,155,0,No info,12,5,2019,5216
Jet Airways,Delhi,Cochin,1375,2,In-flight meal not included,6,6,2019,10368
IndiGo,Delhi,Cochin,880,2,No info,9,3,2019,8146
Jet Airways,Delhi,Cochin,925,1,No info,27,3,2019,12242
Jet Airways,Banglore,New Delhi,435,1,In-flight meal not included,15,3,2019,9134
Air India,Delhi,Cochin,1210,2,No info,6,6,2019,10939
Air India,Delhi,Cochin,1245,2,No info,6,6,2019,11753
SpiceJet,Kolkata,Banglore,150,0,No info,24,4,2019,4174
Jet Airways,Kolkata,Banglore,1430,1,In-flight meal not included,21,5,2019,10844
Jet Airways,Delhi,Cochin,1620,1,No info,3,6,2019,14714
Jet Airways,Kolkata,Banglore,330,1,In-flight meal not included,12,6,2019,9899
IndiGo,Delhi,Cochin,710,1,No info,3,3,2019,14871
IndiGo,Chennai,Kolkata,135,0,No info,6,3,2019,7295
Air India,Delhi,Cochin,1470,2,No info,6,6,2019,13465
SpiceJet,Chennai,Kolkata,140,0,No check-in baggage included,21,5,2019,3543
Multiple carriers,Delhi,Cochin,390,1,No info,27,6,2019,7198
Jet Airways,Delhi,Cochin,1225,1,In-flight meal not included,1,6,2019,10262
IndiGo,Kolkata,Banglore,155,0,No info,15,3,2019,4148
Jet Airways,Banglore,Delhi,175,0,No info,27,6,2019,8016
Jet Airways,Delhi,Cochin,335,1,In-flight meal not included,9,6,2019,10262
SpiceJet,Kolkata,Banglore,150,0,No check-in baggage included,15,6,2019,3841
Jet Airways,Banglore,New Delhi,885,1,No info,12,3,2019,11507
Jet Airways,Kolkata,Banglore,740,1,No info,1,5,2019,14781
Jet Airways,Delhi,Cochin,1530,1,No info,27,5,2019,16079
Jet Airways,Delhi,Cochin,335,1,In-flight meal not included,27,5,2019,12898
Multiple carriers,Delhi,Cochin,705,1,No info,6,3,2019,15353
IndiGo,Banglore,New Delhi,175,0,No info,24,3,2019,7303
SpiceJet,Kolkata,Banglore,340,1,No info,24,3,2019,6197
Air India,Kolkata,Banglore,245,1,No info,9,6,2019,8996
IndiGo,Delhi,Cochin,480,1,No info,21,3,2019,6528
GoAir,Banglore,Delhi,165,0,No info,9,4,2019,4239
IndiGo,Kolkata,Banglore,160,0,No info,12,3,2019,4148
SpiceJet,Banglore,Delhi,175,0,No info,24,5,2019,3971
Air Asia,Kolkata,Banglore,955,1,No info,6,5,2019,5192
Jet Airways,Delhi,Cochin,1390,2,No info,9,4,2019,9483
Jet Airways,Delhi,Cochin,440,2,No info,3,6,2019,18804
Air India,Delhi,Cochin,170,0,No info,18,6,2019,5201
Jet Airways,Delhi,Cochin,450,1,No info,27,5,2019,16079
Jet Airways,Banglore,Delhi,180,0,In-flight meal not included,15,6,2019,7229
Multiple carriers,Delhi,Cochin,465,1,No info,27,5,2019,6795
Jet Airways,Kolkata,Banglore,1520,1,No info,9,5,2019,10953
Multiple carriers,Delhi,Cochin,625,2,No info,24,6,2019,15965
Air India,Delhi,Cochin,1820,2,No info,9,4,2019,9968
IndiGo,Kolkata,Banglore,155,0,No info,6,6,2019,4804
Jet Airways,Delhi,Cochin,540,1,No info,27,5,2019,16079
Jet Airways,Delhi,Cochin,910,2,In-flight meal not included,12,6,2019,11507
Air India,Kolkata,Banglore,1700,2,No info,9,6,2019,11542
Jet Airways,Banglore,Delhi,180,0,No info,24,4,2019,7229
Jet Airways,Banglore,Delhi,165,0,In-flight meal not included,27,4,2019,4544
IndiGo,Delhi,Cochin,295,1,No info,15,5,2019,6496
IndiGo,Kolkata,Banglore,160,0,No info,15,6,2019,4804
Air India,Banglore,New Delhi,1330,1,No info,1,3,2019,13439
Jet Airways,Delhi,Cochin,610,1,In-flight meal not included,27,3,2019,6540
IndiGo,Banglore,Delhi,170,0,No info,1,6,2019,4591
IndiGo,Banglore,New Delhi,260,1,No info,18,3,2019,4437
Air Asia,Delhi,Cochin,660,1,No info,21,3,2019,6151
Jet Airways,Banglore,Delhi,180,0,In-flight meal not included,21,6,2019,7754
Jet Airways,Delhi,Cochin,1355,1,In-flight meal not included,24,6,2019,10262
Jet Airways,Banglore,Delhi,185,0,No info,9,6,2019,8016
SpiceJet,Kolkata,Banglore,160,0,No check-in baggage included,24,3,2019,4781
Vistara,Banglore,Delhi,170,0,No info,27,6,2019,4668
Air India,Banglore,New Delhi,1265,1,No info,6,3,2019,14594
Jet Airways,Kolkata,Banglore,710,1,No info,24,3,2019,14231
Air India,Delhi,Cochin,1535,1,No info,15,5,2019,8425
Multiple carriers,Delhi,Cochin,925,1,No info,12,6,2019,9646
IndiGo,Chennai,Kolkata,145,0,No info,3,3,2019,7295
Air Asia,Kolkata,Banglore,220,1,No info,9,4,2019,5162
IndiGo,Banglore,New Delhi,175,0,No info,9,3,2019,6860
Vistara,Delhi,Cochin,190,0,No info,15,4,2019,6216
Air Asia,Kolkata,Banglore,710,1,No info,24,5,2019,5192
IndiGo,Banglore,Delhi,170,0,No info,9,4,2019,4823
SpiceJet,Banglore,Delhi,170,0,No check-in baggage included,3,4,2019,3919
IndiGo,Mumbai,Hyderabad,90,0,No info,3,6,2019,2754
Multiple carriers,Delhi,Cochin,690,1,No info,9,5,2019,9315
Multiple carriers,Delhi,Cochin,530,1,No info,27,3,2019,11667
Jet Airways,Kolkata,Banglore,1215,1,In-flight meal not included,12,6,2019,6224
Air India,Kolkata,Banglore,1210,2,No info,24,3,2019,13349
Jet Airways,Banglore,New Delhi,965,1,In-flight meal not included,18,3,2019,11087
Multiple carriers,Delhi,Cochin,755,1,No info,6,3,2019,15603
Jet Airways,Delhi,Cochin,1025,2,No info,9,5,2019,15129
IndiGo,Banglore,Delhi,180,0,No info,9,4,2019,4823
Vistara,Kolkata,Banglore,930,1,No info,1,5,2019,8452
Multiple carriers,Delhi,Cochin,690,1,No info,6,6,2019,12524
SpiceJet,Chennai,Kolkata,140,0,No info,27,3,2019,3384
Jet Airways,Delhi,Cochin,1425,1,In-flight meal not included,1,6,2019,10262
SpiceJet,Mumbai,Hyderabad,90,0,No check-in baggage included,18,6,2019,1965
IndiGo,Kolkata,Banglore,155,0,No info,18,5,2019,4804
Jet Airways,Delhi,Cochin,1485,1,No info,27,5,2019,16079
Jet Airways,Delhi,Cochin,1295,2,No info,1,6,2019,13292
Air Asia,Delhi,Cochin,330,1,No info,9,5,2019,6751
Air India,Delhi,Cochin,735,1,No info,15,5,2019,8669
