,Airline,Source,Destination,Flight_Duration,Total_Stops,Additional_Info,Price,Day_of_Journey,Month_of_Journey,Year_of_Journey
34,Jet Airways,Delhi,Cochin,330,1.0,In-flight meal not included,12373,18,5,2019
35,IndiGo,Delhi,Cochin,625,1.0,No info,5894,27,6,2019
36,SpiceJet,Kolkata,Banglore,315,1.0,No info,4649,21,5,2019
37,Air India,Kolkata,Banglore,150,0.0,No info,6245,18,5,2019
38,Jet Airways,Banglore,New Delhi,375,1.0,No info,19225,3,6,2019
39,Jet Airways,Delhi,Cochin,715,1.0,No info,14924,6,3,2019
40,Multiple carriers,Delhi,Cochin,665,1.0,No info,9646,21,5,2019
41,Air India,Banglore,New Delhi,510,1.0,No info,8714,15,3,2019
42,Jet Airways,Delhi,Cochin,1325,1.0,In-flight meal not included,12373,18,5,2019
43,Air Asia,Banglore,Delhi,165,0.0,No info,3383,5,6,2019
44,Multiple carriers,Delhi,Cochin,720,1.0,No info,13062,21,3,2019
45,SpiceJet,Banglore,New Delhi,170,0.0,No check-in baggage included,3527,24,3,2019
46,IndiGo,Banglore,Delhi,170,0.0,No info,3943,27,5,2019
47,Air India,Chennai,Kolkata,135,0.0,No info,4667,5,3,2019
48,Air India,Kolkata,Banglore,965,1.0,No info,6117,15,5,2019
49,Jet Airways,Delhi,Cochin,1195,2.0,In-flight meal not included,11150,27,6,2019
50,Jet Airways,Delhi,Cochin,195,0.0,In-flight meal not included,7202,3,9,2019
51,Jet Airways,Kolkata,Banglore,1520,1.0,No info,12121,5,1,2019
52,IndiGo,Banglore,New Delhi,170,0.0,No info,4377,24,3,2019
53,IndiGo,Banglore,Delhi,180,0.0,No info,3943,18,6,2019
54,Air Asia,Banglore,Delhi,170,0.0,No info,4483,4,3,2019
55,Jet Airways,Kolkata,Banglore,975,1.0,No info,14231,24,3,2019
56,Air India,Banglore,New Delhi,905,2.0,No info,17345,3,1,2019
57,Vistara,Chennai,Kolkata,135,0.0,No info,7414,3,6,2019
58,Multiple carriers,Delhi,Cochin,390,1.0,No info,8073,5,6,2019
59,Vistara,Mumbai,Hyderabad,1505,1.0,No info,12395,3,6,2019
60,Air India,Kolkata,Banglore,745,1.0,No info,8366,6,6,2019
61,Air India,Delhi,Cochin,1640,1.0,No info,5117,4,3,2019
62,Multiple carriers,Delhi,Cochin,615,1.0,No info,12524,6,3,2019
63,IndiGo,Delhi,Cochin,630,1.0,No info,7191,15,5,2019
64,Vistara,Chennai,Kolkata,135,0.0,No info,3687,24,5,2019
65,IndiGo,Delhi,Cochin,625,1.0,No info,5894,24,6,2019
66,Vistara,Banglore,Delhi,170,0.0,No info,5403,24,4,2019
67,Air India,Mumbai,Hyderabad,90,0.0,No info,3625,5,6,2019
68,Air India,Delhi,Cochin,800,2.0,No info,10861,21,5,2019
69,IndiGo,Chennai,Kolkata,135,0.0,No info,6297,3,12,2019
70,Jet Airways,Mumbai,Hyderabad,85,0.0,No info,5678,6,1,2019
71,Jet Airways,Banglore,New Delhi,1590,1.0,In-flight meal not included,9134,3,9,2019
72,Multiple carriers,Delhi,Cochin,440,1.0,In-flight meal not included,10791,24,6,2019
73,Jet Airways,Delhi,Cochin,810,2.0,No info,12819,24,6,2019
74,IndiGo,Delhi,Cochin,300,1.0,No info,6893,21,3,2019
75,Vistara,Banglore,New Delhi,165,0.0,No info,7240,3,9,2019
76,GoAir,Banglore,Delhi,170,0.0,No info,3898,4,3,2019
77,IndiGo,Mumbai,Hyderabad,90,0.0,No info,4049,4,3,2019
78,Jet Airways,Delhi,Cochin,1145,1.0,In-flight meal not included,10262,15,6,2019
79,SpiceJet,Chennai,Kolkata,135,0.0,No check-in baggage included,3332,21,3,2019
80,Jet Airways,Kolkata,Banglore,890,1.0,In-flight meal not included,10844,6,9,2019
81,Jet Airways,Banglore,New Delhi,160,0.0,No info,7229,24,3,2019
82,Jet Airways,Kolkata,Banglore,1330,1.0,No info,13941,5,6,2019
83,IndiGo,Delhi,Cochin,575,1.0,No info,5894,27,6,2019
84,Multiple carriers,Delhi,Cochin,600,1.0,No info,10197,18,5,2019
85,Jet Airways,Banglore,New Delhi,1280,1.0,In-flight meal not included,13712,3,6,2019
86,IndiGo,Delhi,Cochin,325,1.0,No info,5636,24,6,2019
87,Jet Airways,Delhi,Cochin,1125,2.0,No info,13014,6,6,2019
88,Jet Airways,Kolkata,Banglore,740,1.0,In-flight meal not included,7064,4,1,2019
89,Jet Airways,Kolkata,Banglore,1080,1.0,In-flight meal not included,10703,24,5,2019
90,Multiple carriers,Delhi,Cochin,555,1.0,No info,9646,27,5,2019
91,Multiple carriers,Delhi,Cochin,665,1.0,No info,17057,3,6,2019
92,Jet Airways,Banglore,New Delhi,1050,1.0,No info,13817,3,12,2019
93,Air India,Delhi,Cochin,800,2.0,No info,13748,3,6,2019
94,Air India,Kolkata,Banglore,155,0.0,No info,4880,21,4,2019
95,IndiGo,Chennai,Kolkata,145,0.0,No info,3540,21,6,2019
96,SpiceJet,Banglore,Delhi,160,0.0,No check-in baggage included,3257,15,5,2019
97,Jet Airways,Banglore,Delhi,180,0.0,In-flight meal not included,6478,6,3,2019
98,Jet Airways,Mumbai,Hyderabad,85,0.0,No info,8040,18,6,2019
99,Jet Airways,Delhi,Cochin,995,2.0,No info,14300,6,12,2019
100,Jet Airways,Kolkata,Banglore,740,1.0,No info,14781,15,5,2019
101,Jet Airways,Kolkata,Banglore,735,1.0,No info,14939,6,9,2019
102,Jet Airways,Delhi,Cochin,450,1.0,In-flight meal not included,10262,24,6,2019
103,Air India,Kolkata,Banglore,1440,1.0,No info,6528,5,12,2019
104,Air India,Banglore,Delhi,165,0.0,No info,6121,5,1,2019
105,Jet Airways,Delhi,Cochin,535,2.0,In-flight meal not included,13029,18,5,2019
106,Multiple carriers,Delhi,Cochin,430,1.0,No info,11421,27,3,2019
107,Multiple carriers,Delhi,Cochin,870,1.0,No info,7574,27,3,2019
108,Air India,Delhi,Cochin,1820,2.0,No info,11596,5,9,2019
109,Jet Airways,Delhi,Cochin,1195,2.0,No info,15129,24,5,2019
110,Jet Airways,Banglore,New Delhi,900,1.0,No info,13555,18,3,2019
111,IndiGo,Banglore,Delhi,175,0.0,No info,5780,4,12,2019
112,Vistara,Kolkata,Banglore,765,1.0,No info,9397,5,12,2019
113,Jet Airways,Delhi,Cochin,610,1.0,No info,17024,3,6,2019
114,GoAir,Delhi,Cochin,355,1.0,No info,5281,27,6,2019
115,Multiple carriers,Delhi,Cochin,925,1.0,No info,10348,18,5,2019
116,Air India,Delhi,Cochin,965,1.0,No info,12677,3,6,2019
117,Multiple carriers,Delhi,Cochin,610,1.0,No info,15147,3,3,2019
118,Vistara,Banglore,Delhi,160,0.0,No info,4668,6,12,2019
119,Jet Airways,Delhi,Cochin,715,1.0,No info,15554,5,9,2019
120,SpiceJet,Banglore,Delhi,160,0.0,No info,3971,4,9,2019
121,Air India,Mumbai,Hyderabad,85,0.0,No info,3100,5,3,2019
122,Jet Airways,Kolkata,Banglore,845,1.0,In-flight meal not included,9663,5,6,2019
123,Air India,Delhi,Cochin,1215,1.0,No info,27430,3,1,2019
124,IndiGo,Chennai,Kolkata,145,0.0,No info,3540,5,12,2019
125,Air India,Kolkata,Banglore,1390,2.0,No info,10676,21,5,2019
126,Jet Airways,Kolkata,Banglore,1090,1.0,No info,13044,6,12,2019
127,Jet Airways,Kolkata,Banglore,960,1.0,No info,14388,5,6,2019
128,IndiGo,Banglore,Delhi,170,0.0,No info,3943,24,6,2019
129,IndiGo,Chennai,Kolkata,140,0.0,No info,3597,6,3,2019
130,Air India,Banglore,New Delhi,480,1.0,No info,5932,21,3,2019
131,Jet Airways,Delhi,Cochin,1015,1.0,In-flight meal not included,10262,15,6,2019
132,Vistara,Delhi,Cochin,190,0.0,No info,6216,5,12,2019
133,IndiGo,Kolkata,Banglore,165,0.0,No info,4804,15,6,2019
134,Multiple carriers,Delhi,Cochin,840,1.0,No info,14067,21,5,2019
135,Jet Airways,Delhi,Cochin,1430,2.0,No info,15129,18,5,2019
136,Jet Airways,Delhi,Cochin,1300,2.0,No info,13376,6,6,2019
137,Air India,Delhi,Cochin,1275,2.0,No info,10441,27,6,2019
138,Jet Airways,Banglore,Delhi,165,0.0,In-flight meal not included,4030,24,5,2019
139,Jet Airways,Delhi,Cochin,650,1.0,No info,17024,3,3,2019
140,Multiple carriers,Delhi,Cochin,480,1.0,No info,13017,4,9,2019
141,GoAir,Kolkata,Banglore,495,1.0,No info,6686,6,6,2019
142,IndiGo,Delhi,Cochin,325,1.0,No info,5636,15,6,2019
143,IndiGo,Delhi,Cochin,515,1.0,No info,6442,6,9,2019
144,Multiple carriers,Delhi,Cochin,710,1.0,No info,9486,21,5,2019
145,Jet Airways,Kolkata,Banglore,1655,1.0,In-flight meal not included,10844,21,5,2019
146,Jet Airways,Delhi,Cochin,505,2.0,In-flight meal not included,15318,6,3,2019
147,Air India,Delhi,Cochin,1255,1.0,No info,5117,4,3,2019
148,IndiGo,Delhi,Cochin,290,1.0,No info,6147,24,6,2019
149,Multiple carriers,Delhi,Cochin,490,1.0,No info,7005,6,9,2019
150,SpiceJet,Kolkata,Banglore,140,0.0,No info,3873,4,3,2019
151,Jet Airways,Delhi,Cochin,1465,2.0,In-flight meal not included,9270,21,3,2019
152,GoAir,Banglore,Delhi,170,0.0,No info,3898,27,6,2019
153,Jet Airways,Kolkata,Banglore,740,1.0,No info,14781,5,12,2019
154,Jet Airways,Kolkata,Banglore,735,1.0,In-flight meal not included,8586,24,5,2019
155,Air India,Kolkata,Banglore,1415,2.0,No info,10697,5,9,2019
156,Jet Airways,Delhi,Cochin,995,2.0,No info,14300,27,6,2019
157,IndiGo,Banglore,New Delhi,170,0.0,No info,8855,3,3,2019
158,Jet Airways,Kolkata,Banglore,1545,1.0,In-flight meal not included,10844,5,12,2019
159,Jet Airways,Delhi,Cochin,1570,1.0,No info,17024,3,6,2019
160,Jet Airways,Kolkata,Banglore,1730,1.0,In-flight meal not included,9314,5,1,2019
161,IndiGo,Banglore,New Delhi,165,0.0,No info,4777,24,3,2019
162,Air India,Kolkata,Banglore,1515,1.0,No info,7662,6,9,2019
163,IndiGo,Delhi,Cochin,560,1.0,No info,6442,5,9,2019
164,SpiceJet,Delhi,Cochin,270,1.0,No info,5264,6,12,2019
165,Jet Airways,Delhi,Cochin,925,1.0,In-flight meal not included,12898,27,5,2019
166,Air India,Mumbai,Hyderabad,90,0.0,No info,6092,3,3,2019
167,SpiceJet,Banglore,Delhi,160,0.0,No info,3311,21,5,2019
168,Jet Airways,Delhi,Cochin,550,1.0,In-flight meal not included,6540,27,3,2019
169,IndiGo,Banglore,Delhi,165,0.0,No info,3419,27,5,2019
170,Jet Airways,Delhi,Cochin,1355,1.0,In-flight meal not included,5177,4,3,2019
171,Air India,Delhi,Cochin,185,0.0,No info,8246,18,4,2019
172,Jet Airways,Kolkata,Banglore,690,1.0,No info,14676,6,9,2019
173,Multiple carriers,Delhi,Cochin,570,1.0,No info,13587,27,6,2019
174,Jet Airways,Kolkata,Banglore,730,1.0,In-flight meal not included,9663,5,6,2019
175,Jet Airways,Kolkata,Banglore,1055,1.0,No info,13044,6,12,2019
176,IndiGo,Delhi,Cochin,305,1.0,No info,5073,4,3,2019
177,Vistara,Kolkata,Banglore,1550,1.0,No info,9345,21,5,2019
178,Jet Airways,Kolkata,Banglore,1200,1.0,In-flight meal not included,9663,5,6,2019
179,Multiple carriers,Delhi,Cochin,780,1.0,No info,14277,21,5,2019
180,Jet Airways,Delhi,Cochin,1105,1.0,In-flight meal not included,10262,6,1,2019
181,Jet Airways,Mumbai,Hyderabad,90,0.0,No info,5678,27,3,2019
182,Multiple carriers,Delhi,Cochin,570,1.0,No info,13727,15,5,2019
183,Jet Airways,Kolkata,Banglore,960,1.0,In-flight meal not included,9663,5,6,2019
184,IndiGo,Chennai,Kolkata,140,0.0,No info,3858,5,12,2019
185,SpiceJet,Delhi,Cochin,270,1.0,No info,4812,24,6,2019
186,IndiGo,Delhi,Cochin,345,1.0,No info,5775,27,6,2019
187,Jet Airways,Kolkata,Banglore,1450,1.0,In-flight meal not included,10539,6,6,2019
188,IndiGo,Kolkata,Banglore,155,0.0,No info,4804,6,3,2019
189,Air Asia,Banglore,Delhi,165,0.0,No info,3383,6,12,2019
190,IndiGo,Banglore,New Delhi,295,1.0,No info,8738,3,3,2019
191,Air India,Delhi,Cochin,1535,1.0,No info,7165,27,3,2019
192,IndiGo,Delhi,Cochin,380,1.0,No info,6412,24,6,2019
193,Jet Airways,Banglore,Delhi,185,0.0,No info,8016,27,6,2019
194,Jet Airways,Banglore,New Delhi,1120,1.0,In-flight meal not included,11087,3,12,2019
195,SpiceJet,Chennai,Kolkata,135,0.0,No check-in baggage included,3543,27,6,2019
196,Jet Airways,Kolkata,Banglore,730,1.0,No info,12471,6,12,2019
197,Jet Airways,Delhi,Cochin,1165,1.0,In-flight meal not included,10262,24,6,2019
198,Air India,Banglore,New Delhi,170,0.0,No info,4441,18,3,2019
199,Multiple carriers,Delhi,Cochin,505,1.0,No info,12537,27,3,2019
200,GoAir,Kolkata,Banglore,555,1.0,No info,10091,24,3,2019
201,Air India,Banglore,Delhi,170,0.0,No info,6961,6,3,2019
202,IndiGo,Delhi,Cochin,195,0.0,No info,5013,24,4,2019
203,Air India,Delhi,Cochin,170,0.0,No info,6934,18,5,2019
204,Multiple carriers,Delhi,Cochin,740,1.0,No info,10877,6,3,2019
205,Jet Airways,Banglore,Delhi,175,0.0,No info,7229,18,4,2019
206,IndiGo,Delhi,Cochin,575,1.0,No info,7048,27,3,2019
207,Vistara,Banglore,Delhi,155,0.0,No info,4878,27,6,2019
208,Jet Airways,Kolkata,Banglore,570,1.0,In-flight meal not included,10844,21,5,2019
209,Jet Airways,Delhi,Cochin,1760,2.0,No info,15129,18,5,2019
210,IndiGo,Banglore,Delhi,175,0.0,No info,3943,5,12,2019
211,SpiceJet,Delhi,Cochin,315,1.0,No info,5583,6,6,2019
212,Multiple carriers,Delhi,Cochin,545,1.0,No info,9646,6,6,2019
213,Multiple carriers,Delhi,Cochin,645,1.0,No info,7677,6,3,2019
214,IndiGo,Delhi,Cochin,295,1.0,No info,6842,6,1,2019
215,Jet Airways,Mumbai,Hyderabad,90,0.0,In-flight meal not included,4995,24,6,2019
216,Vistara,Kolkata,Banglore,700,1.0,No info,9555,6,9,2019
217,IndiGo,Banglore,Delhi,165,0.0,No info,4077,6,1,2019
218,Jet Airways,Banglore,Delhi,175,0.0,No info,7229,5,12,2019
219,Multiple carriers,Delhi,Cochin,600,1.0,No info,12192,6,9,2019
220,Air India,Banglore,Delhi,165,0.0,No info,5911,4,12,2019
221,Air India,Delhi,Cochin,615,1.0,No info,8372,6,12,2019
222,Jet Airways,Mumbai,Hyderabad,85,0.0,In-flight meal not included,4995,18,3,2019
223,Multiple carriers,Delhi,Cochin,555,1.0,No info,14323,5,9,2019
224,Jet Airways,Delhi,Cochin,1375,2.0,No info,13014,6,9,2019
225,Air India,Delhi,Cochin,1730,2.0,No info,13591,6,6,2019
226,Jet Airways,Delhi,Cochin,2245,2.0,No info,18799,3,3,2019
227,IndiGo,Banglore,Delhi,170,0.0,No info,3943,27,4,2019
228,SpiceJet,Mumbai,Hyderabad,90,0.0,No check-in baggage included,1965,21,5,2019
229,Jet Airways,Mumbai,Hyderabad,90,0.0,In-flight meal not included,4995,27,5,2019
230,Air India,Kolkata,Banglore,1540,1.0,No info,14641,24,3,2019
231,Air India,Kolkata,Banglore,155,0.0,No info,4460,4,12,2019
232,Air India,Delhi,Cochin,375,1.0,No info,10191,18,5,2019
233,Jet Airways,Delhi,Cochin,1050,1.0,In-flight meal not included,13843,3,9,2019
234,IndiGo,Delhi,Cochin,345,1.0,No info,6349,5,1,2019
235,Air Asia,Kolkata,Banglore,155,0.0,No info,4409,5,1,2019
236,Jet Airways,Delhi,Cochin,1530,1.0,No info,17024,3,6,2019
237,Multiple carriers,Delhi,Cochin,835,1.0,No info,13727,18,5,2019
238,IndiGo,Banglore,New Delhi,175,0.0,No info,8855,15,3,2019
239,Multiple carriers,Delhi,Cochin,615,1.0,No info,12524,24,6,2019
240,Jet Airways,Banglore,New Delhi,520,1.0,No info,13555,18,3,2019
241,Jet Airways,Kolkata,Banglore,330,1.0,In-flight meal not included,10844,6,6,2019
242,Multiple carriers,Delhi,Cochin,720,1.0,No info,13587,6,9,2019
243,SpiceJet,Chennai,Kolkata,135,0.0,No check-in baggage included,3543,6,12,2019
244,Vistara,Chennai,Kolkata,135,0.0,No info,4842,18,3,2019
245,IndiGo,Banglore,Delhi,170,0.0,No info,3943,24,4,2019
246,Jet Airways,Delhi,Cochin,550,1.0,In-flight meal not included,10577,6,9,2019
247,IndiGo,Delhi,Cochin,625,1.0,No info,6979,15,5,2019
248,Vistara,Chennai,Kolkata,140,0.0,No info,11982,27,6,2019
249,SpiceJet,Delhi,Cochin,270,1.0,No info,5264,6,6,2019
250,Vistara,Delhi,Cochin,190,0.0,No info,8001,3,3,2019
251,Air India,Delhi,Cochin,1410,2.0,No info,10651,6,1,2019
252,Jet Airways,Kolkata,Banglore,1640,1.0,In-flight meal not included,10844,24,5,2019
253,Multiple carriers,Delhi,Cochin,755,1.0,No info,6601,27,3,2019
254,Air India,Delhi,Cochin,1455,1.0,No info,6587,21,3,2019
255,SpiceJet,Mumbai,Hyderabad,80,0.0,No info,3173,21,3,2019
256,Air India,Banglore,Delhi,165,0.0,No info,5228,5,9,2019
257,Jet Airways,Banglore,Delhi,180,0.0,In-flight meal not included,5769,21,6,2019
258,Jet Airways,Delhi,Cochin,660,1.0,No info,14714,6,6,2019
259,Jet Airways,Delhi,Cochin,810,2.0,No info,13014,6,3,2019
260,IndiGo,Banglore,Delhi,170,0.0,No info,3359,6,3,2019
261,GoAir,Banglore,New Delhi,175,0.0,No info,6722,3,3,2019
262,IndiGo,Kolkata,Banglore,165,0.0,No info,4462,18,3,2019
263,IndiGo,Delhi,Cochin,675,1.0,No info,6171,3,9,2019
264,Air India,Kolkata,Banglore,875,2.0,No info,12303,21,5,2019
265,Multiple carriers,Delhi,Cochin,835,1.0,No info,7695,21,3,2019
266,IndiGo,Delhi,Cochin,845,1.0,No info,5684,24,6,2019
267,Air India,Kolkata,Banglore,905,1.0,No info,8366,6,12,2019
268,Air India,Chennai,Kolkata,135,0.0,No info,19630,3,1,2019
269,Jet Airways,Banglore,New Delhi,900,1.0,In-flight meal not included,13502,3,6,2019
270,Jet Airways,Kolkata,Banglore,775,1.0,No info,14781,5,1,2019
271,Multiple carriers,Delhi,Cochin,540,1.0,No info,6513,6,12,2019
272,Air India,Delhi,Cochin,735,1.0,No info,9929,6,1,2019
273,Multiple carriers,Delhi,Cochin,460,2.0,No info,18275,6,6,2019
274,Air India,Delhi,Cochin,1640,1.0,No info,4487,4,9,2019
275,IndiGo,Mumbai,Hyderabad,85,0.0,No info,2754,15,3,2019
276,Air India,Mumbai,Hyderabad,80,0.0,No info,2575,27,3,2019
277,SpiceJet,Kolkata,Banglore,330,1.0,No info,8224,6,12,2019
278,Air India,Delhi,Cochin,705,1.0,No info,8991,3,9,2019
279,IndiGo,Delhi,Cochin,195,0.0,No info,5000,24,6,2019
280,Jet Airways,Kolkata,Banglore,1495,1.0,In-flight meal not included,8529,6,12,2019
281,Air India,Delhi,Cochin,1640,1.0,No info,14042,3,3,2019
282,Jet Airways,Banglore,Delhi,175,0.0,In-flight meal not included,4030,24,5,2019
283,Jet Airways,Kolkata,Banglore,1025,1.0,In-flight meal not included,10844,6,6,2019
284,IndiGo,Kolkata,Banglore,160,0.0,No info,4804,5,6,2019
285,Multiple carriers,Delhi,Cochin,480,1.0,In-flight meal not included,7308,27,5,2019
286,IndiGo,Banglore,Delhi,180,0.0,No info,4823,5,12,2019
287,Jet Airways,Delhi,Cochin,1655,1.0,In-flight meal not included,10262,24,6,2019
288,Jet Airways,Delhi,Cochin,450,1.0,In-flight meal not included,12898,27,5,2019
289,Air India,Banglore,New Delhi,1375,2.0,No info,12778,3,12,2019
290,IndiGo,Delhi,Cochin,515,1.0,No info,14871,3,3,2019
291,Air India,Delhi,Cochin,1795,2.0,No info,8708,21,3,2019
292,Jet Airways,Kolkata,Banglore,1335,1.0,In-flight meal not included,10844,6,6,2019
293,SpiceJet,Mumbai,Hyderabad,80,0.0,No info,4129,3,6,2019
294,IndiGo,Kolkata,Banglore,160,0.0,No info,4804,18,5,2019
295,Jet Airways,Banglore,Delhi,180,0.0,No info,7229,5,6,2019
296,Jet Airways,Banglore,New Delhi,730,1.0,In-flight meal not included,7832,21,3,2019
297,SpiceJet,Chennai,Kolkata,155,0.0,No info,3859,18,3,2019
298,Multiple carriers,Delhi,Cochin,705,1.0,No info,9001,6,6,2019
299,Vistara,Banglore,Delhi,155,0.0,No info,4878,5,9,2019
300,IndiGo,Mumbai,Hyderabad,90,0.0,No info,2754,5,3,2019
301,Vistara,Banglore,Delhi,160,0.0,No info,4668,27,6,2019
302,Air Asia,Kolkata,Banglore,155,0.0,No info,5216,5,12,2019
303,Jet Airways,Delhi,Cochin,1375,2.0,In-flight meal not included,10368,6,6,2019
304,IndiGo,Delhi,Cochin,880,2.0,No info,8146,3,9,2019
305,Jet Airways,Delhi,Cochin,925,1.0,No info,12242,27,3,2019
306,Jet Airways,Banglore,New Delhi,435,1.0,In-flight meal not included,9134,15,3,2019
307,Air India,Delhi,Cochin,1210,2.0,No info,10939,6,6,2019
308,Air India,Delhi,Cochin,1245,2.0,No info,11753,6,6,2019
309,SpiceJet,Kolkata,Banglore,150,0.0,No info,4174,24,4,2019
310,Jet Airways,Kolkata,Banglore,1430,1.0,In-flight meal not included,10844,21,5,2019
311,Jet Airways,Delhi,Cochin,1620,1.0,No info,14714,6,3,2019
312,Jet Airways,Kolkata,Banglore,330,1.0,In-flight meal not included,9899,6,12,2019
313,IndiGo,Delhi,Cochin,710,1.0,No info,14871,3,3,2019
314,IndiGo,Chennai,Kolkata,135,0.0,No info,7295,3,6,2019
315,Air India,Delhi,Cochin,1470,2.0,No info,13465,6,6,2019
316,SpiceJet,Chennai,Kolkata,140,0.0,No check-in baggage included,3543,21,5,2019
317,Multiple carriers,Delhi,Cochin,390,1.0,No info,7198,27,6,2019
318,Jet Airways,Delhi,Cochin,1225,1.0,In-flight meal not included,10262,6,1,2019
319,IndiGo,Kolkata,Banglore,155,0.0,No info,4148,15,3,2019
320,Jet Airways,Banglore,Delhi,175,0.0,No info,8016,27,6,2019
321,Jet Airways,Delhi,Cochin,335,1.0,In-flight meal not included,10262,6,9,2019
322,SpiceJet,Kolkata,Banglore,150,0.0,No check-in baggage included,3841,15,6,2019
323,Jet Airways,Banglore,New Delhi,885,1.0,No info,11507,3,12,2019
324,Jet Airways,Kolkata,Banglore,740,1.0,No info,14781,5,1,2019
325,Jet Airways,Delhi,Cochin,1530,1.0,No info,16079,27,5,2019
326,Jet Airways,Delhi,Cochin,335,1.0,In-flight meal not included,12898,27,5,2019
327,Multiple carriers,Delhi,Cochin,705,1.0,No info,15353,3,6,2019
328,IndiGo,Banglore,New Delhi,175,0.0,No info,7303,24,3,2019
329,SpiceJet,Kolkata,Banglore,340,1.0,No info,6197,24,3,2019
330,Air India,Kolkata,Banglore,245,1.0,No info,8996,6,9,2019
331,IndiGo,Delhi,Cochin,480,1.0,No info,6528,21,3,2019
332,GoAir,Banglore,Delhi,165,0.0,No info,4239,4,9,2019
333,IndiGo,Kolkata,Banglore,160,0.0,No info,4148,3,12,2019
334,SpiceJet,Banglore,Delhi,175,0.0,No info,3971,24,5,2019
335,Air Asia,Kolkata,Banglore,955,1.0,No info,5192,5,6,2019
336,Jet Airways,Delhi,Cochin,1390,2.0,No info,9483,4,9,2019
337,Jet Airways,Delhi,Cochin,440,2.0,No info,18804,6,3,2019
338,Air India,Delhi,Cochin,170,0.0,No info,5201,18,6,2019
339,Jet Airways,Delhi,Cochin,450,1.0,No info,16079,27,5,2019
340,Jet Airways,Banglore,Delhi,180,0.0,In-flight meal not included,7229,15,6,2019
341,Multiple carriers,Delhi,Cochin,465,1.0,No info,6795,27,5,2019
342,Jet Airways,Kolkata,Banglore,1520,1.0,No info,10953,5,9,2019
343,Multiple carriers,Delhi,Cochin,625,2.0,No info,15965,24,6,2019
344,Air India,Delhi,Cochin,1820,2.0,No info,9968,4,9,2019
345,IndiGo,Kolkata,Banglore,155,0.0,No info,4804,6,6,2019
346,Jet Airways,Delhi,Cochin,540,1.0,No info,16079,27,5,2019
347,Jet Airways,Delhi,Cochin,910,2.0,In-flight meal not included,11507,6,12,2019
348,Air India,Kolkata,Banglore,1700,2.0,No info,11542,6,9,2019
349,Jet Airways,Banglore,Delhi,180,0.0,No info,7229,24,4,2019
350,Jet Airways,Banglore,Delhi,165,0.0,In-flight meal not included,4544,27,4,2019
351,IndiGo,Delhi,Cochin,295,1.0,No info,6496,15,5,2019
352,IndiGo,Kolkata,Banglore,160,0.0,No info,4804,15,6,2019
